sentence_id,sentence,instance_form_long,instance_form,instance_lemma,comp1_id,comp1_form,comp1_feats,comp1_lemma,comp2_id,comp2_form,comp2_feats,comp2_lemma,manual_annotation,comment,gpt1,gemma1
12822583,"Hõrgutisest tavaeineks Kui mitu aastat oli Ami-Ja Tallinna ainuke sushisöömise paik , siis tasahilju on see maitsev ja tervislik roog üha populaarsemaks muutunud .",hõrgutisest tavaeineks,hõrgutisest tavaeineks,hõrgutisest tavaeine,1,hõrgutisest,sg el,hõrgutis,2,tavaeineks,sg tr,tavaeine,other,MILLEST MILLEKS,other,other
2909170,"Kohta , kus on kirjutatud ühest ravitsejast prohvetist , kelle vanemad pidid surema , on kirjutatud "" Giuseppe "" .","ühest ravitsejast prohvetist , kelle vanemad pidid surema ,",ravitsejast prohvetist,ravitsejast prohvet,7,ravitsejast,sg el,ravitseja,8,prohvetist,sg el,prohvet,elative_attribute,,elative_attribute,elative_attribute
1505306,"Prantsuse veokijuhid jätkasid neljapäeval kütusehoidlate blokeerimist , rohelised esitasid sotsialistist peaministrile Lionel Jospinile ultimaatumi .",sotsialistist peaministrile lionel jospinile,sotsialistist peaministrile,sotsialistist peaminister,10,sotsialistist,sg el,sotsialist,11,peaministrile,sg all,peaminister,elative_attribute,,elative_attribute,elative_attribute
6285478,"Sinimäe räägib elavalt , kuidas soojad ilmad sadakonna püsielaniku elu suveajal ööst päevaks muudavad , kui elu käima läheb .",ööst päevaks,ööst päevaks,ööst päev,12,ööst,sg el,öö,13,päevaks,sg tr,päev,error,syntax,other,other
7772106,Tema käe läbi saab võsaga kaetud lohust järv .,võsaga kaetud lohust järv,lohust järv,lohust järv,7,lohust,sg el,lohk,8,järv,sg n,järv,elative_material,?,other,elative_attribute
13511304,Politsei tabas ja trahvis üleeile Tallinnas ja linna lähiümbruses läbiviidud politseireidi käigus 45 seaduserikkujast veoautojuhti .,45 seaduserikkujast veoautojuhti,seaduserikkujast veoautojuhti,seaduserikkujast veoautojuht,14,seaduserikkujast,sg el,seaduserikkuja,15,veoautojuhti,sg p,veoautojuht,elative_attribute,,elative_attribute,elative_attribute
2532360,"Vabariiklasest senaatori Richard Lugari andmetel on mitteametlik vastuvõetavate nimekiri laienenud seitsmeliikmeliseks ning NATO-sse saamist on loota Eestil , Lätil , Leedul , Slovakkial , Sloveenial , Bulgaarial ja Rumeenial .",vabariiklasest senaatori richard lugari,vabariiklasest senaatori,vabariiklasest senaator,1,vabariiklasest,sg el,vabariiklane,2,senaatori,sg g,senaator,elative_attribute,,elative_attribute,elative_attribute
13608454,"Üks ameeriklasest Vietnami sõja veteran on kohal oma lendavate helikopterimudelitega , mis raadio teel juhituna õhus imevigureid teevad .",ameeriklasest vietnami sõja,ameeriklasest sõja,ameeriklasest sõda,2,ameeriklasest,sg el,ameeriklane,4,sõja,sg g,sõda,error,syntax,elative_attribute,elative_attribute
13419033,"Great Western Forumis oli peategelaseks küll Lakersi täht Shaquille ONeal , kuid nimele märgitud 39 punktist ja 15 lauapallist kodumeeskonna võiduks ei piisanud .",15 lauapallist kodumeeskonna võiduks,lauapallist võiduks,lauapallist võidu,19,lauapallist,sg el,lauapall,21,võiduks,sg tr,võidu,error,syntax,other,other
1414663,"Muide , kolm päeva enne Wise'i tegi sama tembu brasiillasest väravavaht Claudio Taffarel , kes UEFA karikavõitja medalit vastu võttes lasi autasu kaela panna hoopis tema kukil istunud pojale .","brasiillasest väravavaht claudio taffarel , kes uefa karikavõitja medalit vastu võttes lasi autasu kaela panna hoopis tema kukil istunud pojale",brasiillasest väravavaht,brasiillasest väravavaht,10,brasiillasest,sg el,brasiillane,11,väravavaht,sg n,väravavaht,elative_attribute,,elative_attribute,elative_attribute
566771,"Eelistada tuleks kestvat ja suuremat hulka lihaseid hõlmavat tegevust - kõndimist , matkamist , jooksu , jalgrattasõitu , suusatamist , tantsimist , sõudmist , trepist tõusu , ujumist , uisutamist ( ka rulluiskudel ) ja vastupidavust arendavaid sportmänge .",", trepist tõusu",trepist tõusu,trepist tõus,25,trepist,sg el,trepp,26,tõusu,sg p,tõus,other,movement,other,other
11686374,Koolist kooli,koolist kooli,koolist kooli,koolist kool,1,koolist,sg el,kool,2,kooli,sg g,kool,other,KUST KUHU,other,other
8885592,Inglise keelest Maia Planhof .,inglise keelest maia planhof .,keelest maia,keelest Maia,2,keelest,sg el,keel,3,maia,sg n,Maia,other,ellips,other,other
12924005,"Respublikaanist Tallinna linnapea Tõnis Palts tahab lammutada Lauluväljaku lähedal asuva 16korruselise maja Pirita teel , kirjutab Eesti Ekspress .",respublikaanist tallinna linnapea tõnis palts,respublikaanist linnapea,respublikaanist linnapea,1,respublikaanist,sg el,respublikaan,3,linnapea,sg n,linnapea,elative_attribute,,elative_attribute,elative_attribute
15769728,"Sellised on tervishoiupersonali keskregister , tuberkuloosi esmasjuhtude register ja sugulisel teel levivate haiguste esmasjuhtude register , samuti esimesed haiglast lahkunute aruandesüsteemid , mis hõlmasid tuberkuloosisanatooriume ( alates 1956 ) , psühhiaatriahaiglaid ( alates 1957 ) ja üldhaiglaid ( alates 1960 ) .",haiglast lahkunute,haiglast lahkunute,haiglast lahkunu,19,haiglast,sg el,haigla,20,lahkunute,pl g,lahkunu,other,u-ending,other,other
12642494,Teine oli eraldistardist sõidu maailmameister Leontien van Moorsel ( Holland ) ja kolmas sakslanna Hanka Kupfernagel .,eraldistardist sõidu,eraldistardist sõidu,eraldistardist sõit,3,eraldistardist,sg el,eraldistart,4,sõidu,sg g,sõit,other,KUST MIS,other,other
13092612,"Anne-Liisi tsooniterapeudist sõbranna Hele Jaagu tunnistab , et on Anne-Liisiga pärast tema lahkumist kontaktis olnud .",anne-liisi tsooniterapeudist sõbranna hele jaagu,tsooniterapeudist sõbranna,tsooniterapeudist sõbranna,2,tsooniterapeudist,sg el,tsooniterapeut,3,sõbranna,sg g,sõbranna,elative_attribute,,elative_attribute,elative_attribute
2510007,"Linnavalitsuse otsusega kinnitati kolmapäeval keskerakondlasest abilinnapea Jaan Moksi nõunikuks Pille Arjakas , kes on Kekserakonna peasekretäri Küllo Arjakase abikasa",keskerakondlasest abilinnapea jaan moksi,keskerakondlasest abilinnapea,keskerakondlasest abilinnapea,5,keskerakondlasest,sg el,keskerakondlane,6,abilinnapea,sg n,abilinnapea,elative_attribute,,elative_attribute,elative_attribute
10082425,Nende sinisest vildist otstele on kirjutatud vaid number .,nende sinisest vildist otstele,vildist otstele,vildist ots,3,vildist,sg el,vilt,4,otstele,pl all,ots,elative_material,,elative_material,elative_material
7270976,"Müra on üks asi , prügi teine ja kolmas see , kui aiast lipid kaovad nii , et pere suur koer sealt vabalt läbi mahuks .",aiast lipid,aiast lipid,aiast lipp,13,aiast,sg el,aed,14,lipid,pl n,lipp,error,syntax,other,other
2341890,"Statistika kohaselt on tüüpiline vanalinnas tegutsev kurjategija vene keelt kõnelev , just vanglast vabanenud narkosõltlasest mees .",", just vanglast vabanenud narkosõltlasest mees",narkosõltlasest mees,narkosõltlasest mees,15,narkosõltlasest,sg el,narkosõltlane,16,mees,sg n,mees,elative_attribute,,other,elative_attribute
587209,alkoholiaktsiisist eraldise tegemine Kultuurkapitalile ?,alkoholiaktsiisist eraldise,alkoholiaktsiisist eraldise,alkoholiaktsiisist eraldis,1,alkoholiaktsiisist,sg el,alkoholiaktsiis,2,eraldise,sg g,eraldis,error,syntax,other,other
10779907,"Tartlane ei suuda veel matil endise hooga tegutseda , kuna elas aasta tagasi läbi tõsise autoavarii ( traumeeritud jalast eemaldatakse metallist tugevdused aastavahetusel ) .",metallist tugevdused aastavahetusel,metallist tugevdused,metallist tugevdus,21,metallist,sg el,metall,22,tugevdused,pl n,tugevdus,elative_material,,elative_material,elative_material
16052482,Pakkumismenetluse tingimused peavad tagama kõigi asjaosaliste võrdse võimaluse menetluses osaleda ja võrdse kohtlemise sõltumata nende asukohast ühenduses .,ja nende asukohast ühenduses,asukohast ühenduses,asukohast ühendus,16,asukohast,sg el,asukoht,17,ühenduses,sg in,ühendus,other,government,other,other
14581885,"Võibolla tõesti - arvatavasti Venemaa poliitilisest juhtkonnast osa laseks selle Teteenia vabaks - aga kardetakse - siis tuleb edasi sõjad Dagestanis , mujal Kaukaasias jne - võibolla Venemaa juhtkond teab - Venemaal enamus rahvast ja juhtkonnast ( eriti sõjaväelased ) ei taha kuuldagi derava lagunemisest - T. iseseisvusega leppimise puhul võib tekkida Venemaal sõjaline riigipööre , mida rahvas toetab .",venemaa poliitilisest juhtkonnast osa,juhtkonnast osa,juhtkonnast osa,7,juhtkonnast,sg el,juhtkond,8,osa,sg n,osa,other,government,elative_attribute,other
10092813,"Kuid minu meelest on alati koomiline , kuidas see välja paistab , kui mõni mu “ pilpast ” naistuttav kasvatab endale järsku mingi vaadi ette .",mõni mu “ pilpast ” naistuttav,pilpast naistuttav,pilpast naistuttav,17,pilpast,sg el,pilbas,19,naistuttav,sg n,naistuttav,elative_attribute,,other,other
8180994,"Kaks aastat tagasi ehitasid tundmatud , ent andekad ja sümpaatsed noormehed Chad Hugo ja Pharell Williams ( the Neptunes ) digitaalsetest klotsidest ja toorest naishäälest kolossi nimega “ Kaleidoscope ” .",ja toorest naishäälest kolossi nimega “ kaleidoscope ”,naishäälest kolossi,naishäälest koloss,25,naishäälest,sg el,naishääl,26,kolossi,sg g,koloss,error,syntax,other,elative_attribute
8508110,"Keegi pakkus , et juhul kui tal ei õnnestunud mägede kaudu plehku panna , istub ta kusagil varjendis või siis ühes paarist terveks jäetud hoonest linna keskuses .",või siis ühes paarist terveks jäetud hoonest linna keskuses,hoonest keskuses,hoonest keskus,25,hoonest,sg el,hoone,27,keskuses,sg in,keskus,error,syntax,other,other
9979566,"Sama kurb olukord valitses Tallinna Väärtpaberibörsil , mida Eesti suurima pangaga seob tolle tütarfirma Crebit hooldatav arvutivõrgust nabanöör .",tolle tütarfirma crebit hooldatav arvutivõrgust nabanöör,arvutivõrgust nabanöör,arvutivõrgust nabanöör,17,arvutivõrgust,sg el,arvutivõrk,18,nabanöör,sg n,nabanöör,elative_material,,other,other
2168970,"Suulisest meediast ja raadiost kirjutab raamatus Silvia Karro , televisioonist Kiili kooli meedia ja suhtlemise õpetaja Eino Tandre ning meediaõpetusest koolides Paide gümnaasiumi eesti keele , kirjanduse ja meedia õpetaja Ülle Rohtma .",", televisioonist kiili kooli meedia ja suhtlemise õpetaja eino tandre ning meediaõpetusest koolides paide gümnaasiumi eesti keele , kirjanduse ja meedia õpetaja ülle rohtma",televisioonist õpetaja,televisioonist õpetaja,10,televisioonist,sg el,televisioon,16,õpetaja,sg n,õpetaja,other,ellips,other,other
15404547,"Püha Vaim ) ii ) soomekeeles on DAVAJYE ZHITJ DRUZHNO- maailmapilt armsa muumimammast President Tarja halosega eesotsas - loomulik on kõik see mis on HENKI ( ihmishenki , Pyhä Henki jne. ) ja ebaloomulik on , kui see HENKI on miskistpärast HALB või HALVAL TEEL ( paha henki 'kuri vaim' ) ( iii ) venekeeles on DUSHA ( =inimene ) ja DUH ( =mitte-inimene ) vastandus ja sellest tulenev slaaviortodoksia ( iv ) inglise keeles toimus ( Yukoni eestlasest preestri Aini sõnutsi  viiekümne aasta eest üleminek EESTIKEELE-loogika Püha vaimu THE HOLY GHOSTilt SOOMEKEELE-loogika Pyhä Henki THE HOLY SPIRITILE . ...",( yukoni eestlasest preestri aini sõnutsi .,eestlasest preestri,eestlasest preester,84,eestlasest,sg el,eestlane,85,preestri,sg g,preester,elative_attribute,,elative_attribute,elative_attribute
12409914,Rongis olnud umbes 300 reisijast enamikku tabas katastroof une pealt .,umbes 300 reisijast enamikku,reisijast enamikku,reisijast enamik,5,reisijast,sg el,reisija,6,enamikku,sg p,enamik,other,government,elative_attribute,elative_attribute
8198399,Juhani Seilenthali Nordea panga juhatuse esimehe kohalt välja vahetanud soomlase Christer Rosenströmi ülesanne on muuhulgas Nordeale uus eestlasest juht leida panga praeguse juhtkonna hulgast .,juhani seilenthali nordea panga juhatuse esimehe kohalt välja vahetanud soomlase christer rosenströmi ülesanne on muuhulgas nordeale uus eestlasest juht leida panga praeguse juhtkonna hulgast .,eestlasest juht,eestlasest juht,18,eestlasest,sg el,eestlane,19,juht,sg n,juht,elative_attribute,,elative_attribute,elative_attribute
6006769,""" Ma usun , et sellest saab rahu valitsusaeg kõigile religioonidele , "" ütles filipiinlasest arst Lorenzo Gallegos Manila kirikus peetus missal .",filipiinlasest arst lorenzo gallegos,filipiinlasest arst,filipiinlasest arst,15,filipiinlasest,sg el,filipiinlane,16,arst,sg n,arst,elative_attribute,,elative_attribute,elative_attribute
10959644,"Mängur tahab sõjale lõpu teha tõestamaks , et ta on kõvem mees kui tema kuueaastane pärismaalasest turvamees .",kui tema kuueaastane pärismaalasest turvamees,pärismaalasest turvamees,pärismaalasest turvamees,16,pärismaalasest,sg el,pärismaalane,17,turvamees,sg n,turvamees,elative_attribute,,elative_attribute,elative_attribute
11853168,Eile Tallinna jõudnud ameeriklasest tsenter Seth Sundberg on ühe Kalevi korvpalluriga juba varem koos mänginud - eelmise hooaja esimese poole veetis ta Vene klubis Permi Ural Great koos venelasest ääre Andrei Laletiniga .,eile tallinna jõudnud ameeriklasest tsenter seth sundberg,ameeriklasest tsenter,ameeriklasest tsenter,4,ameeriklasest,sg el,ameeriklane,5,tsenter,sg n,tsenter,elative_attribute,,elative_attribute,elative_attribute
9675024,Sellepärast moodustab osa kirjavahetusest väljalõiked meil ilmuvast ajakirjandusest .,kirjavahetusest väljalõiked,kirjavahetusest väljalõiked,kirjavahetusest väljalõige,4,kirjavahetusest,sg el,kirjavahetus,5,väljalõiked,pl n,väljalõige,error,syntax,other,other
3832518,Keskerakondlasest abilinnapea Kalev Kallo sõnul kaaluti Keskerakonna laiendatud juhatuse ja fraktsiooni istungil põhjalikult umbes kümne inimese kandidatuuri .,keskerakondlasest abilinnapea kalev kallo,keskerakondlasest abilinnapea,keskerakondlasest abilinnapea,1,keskerakondlasest,sg el,keskerakondlane,2,abilinnapea,sg n,abilinnapea,elative_attribute,,elative_attribute,elative_attribute
13871255,"Madalal kasepuust laual on selge , lihtne vorm ; selle keskosa ehib reljeefne puidupind .","madalal kasepuust laual on selge , lihtne vorm ; selle keskosa ehib reljeefne puidupind .",kasepuust laual,kasepuust laud,2,kasepuust,sg el,kasepuu,3,laual,sg ad,laud,elative_material,,elative_material,elative_material
12138348,« California poliitikas on kõrgel positsioonil olnud kolm vabariiklasest filmitähte .,kolm vabariiklasest filmitähte,vabariiklasest filmitähte,vabariiklasest filmitäht,9,vabariiklasest,sg el,vabariiklane,10,filmitähte,sg p,filmitäht,elative_attribute,,elative_attribute,elative_attribute
15634398,"Juan Perron oli Argentina diktaatorist valitseja , kes tõi riiki juhtima ka abikaasa Evita .","juan perron oli argentina diktaatorist valitseja , kes tõi riiki juhtima ka abikaasa evita .",diktaatorist valitseja,diktaatorist valitseja,5,diktaatorist,sg el,diktaator,6,valitseja,sg n,valitseja,elative_attribute,,elative_attribute,elative_attribute
9502876,“ Postimees ” on kirjutanud ka neljast viimasest õnnetusest raudteel .,neljast viimasest õnnetusest raudteel,õnnetusest raudteel,õnnetusest raudtee,9,õnnetusest,sg el,õnnetus,10,raudteel,sg ad,raudtee,other,MIS KUS,other,other
2343564,"Konservatiivne Bush peab oma Saksamaavisiidil lisaks protestijate vihale muretsema ka Saksamaa sotsialistist kantsleri Gerhard Schöroderi kriitika pärast , sest ka Schöderil on palju öelda USA poliitika vastu .",saksamaa sotsialistist kantsleri gerhard schöroderi,sotsialistist kantsleri,sotsialistist kantsler,12,sotsialistist,sg el,sotsialist,13,kantsleri,sg g,kantsler,elative_attribute,,elative_attribute,elative_attribute
4914424,"Alkohoolikust ema ja isa võivad olla väga head lapsevanemad , on "" Lapsele oma kodu "" sotsiaaltöötajad veendunud .",alkohoolikust ema ja isa,alkohoolikust ema,alkohoolikust ema,1,alkohoolikust,sg el,alkohoolik,2,ema,sg n,ema,elative_attribute,,other,elative_attribute
15549575,"« Pärast pühapäevast õnnetust tundus olevat kindlam maanduda , » ütles kompanii esindaja .",pärast pühapäevast õnnetust,pühapäevast õnnetust,pühapäevast õnnetus,3,pühapäevast,sg el,pühapäev,4,õnnetust,sg p,õnnetus,other,adjective,other,other
7719136,"Eestisse on jõudnud ka uued looduses liikumise vormid - maal ja veel liikumiseks kasutatakse järjest rohkem mootorsaane , skuutreid , klaasplastist süstasid , maastikurattaid jm. kaasaegseid vahendeid ning see toob paratamatult kaasa uusi probleeme .",", klaasplastist süstasid",klaasplastist süstasid,klaasplastist süst,21,klaasplastist,sg el,klaasplast,22,süstasid,pl p,süst,elative_material,,elative_material,elative_material
13617906,Margus Sirts ei soostunud avaldama Lääne politseiprefektuurist lahkunute nimesid .,lääne politseiprefektuurist lahkunute,politseiprefektuurist lahkunute,politseiprefektuurist lahkunu,7,politseiprefektuurist,sg el,politseiprefektuur,8,lahkunute,pl g,lahkunu,other,u-ending,other,other
8704691,"Haarasin tikutoosi ning libistasin tikuga mööda tikutoosi serva , mis oli kaetud abrasiivainega , nii et kui tikku vastu seda hõõruda , tekib soojus , mis süütab tiku peas oleva väävli ja veel paari keemilisse koostisesse kuuluva aine segu , ning mis omakorda süütab tiku puidust osa .",tiku puidust osa,puidust osa,puidust osa,46,puidust,sg el,puit,47,osa,sg n,osa,elative_material,,elative_material,elative_material
681048,Austria konsultandid soovitavad Tartu Ülikooli kliinikumil loobuda enamikust praegustest hoonetest ja ehitada nende asemele kahe miljardi krooni eest Euroopa moodsaim haigla .,enamikust praegustest hoonetest,enamikust hoonetest,enamikust hoone,8,enamikust,sg el,enamik,10,hoonetest,pl el,hoone,other,government,other,other
968201,"Genotsiidis süüdistatud Läti kodanikust endine KGB ohvitser Vassili Kirsanov suri pühapäeval südamepuudulikkusse , teatas Läti peaprokuratuuri pressisekretär Dzintra šubrovska .",genotsiidis süüdistatud läti kodanikust endine kgb ohvitser vassili kirsanov,kodanikust ohvitser,kodanikust ohvitser,4,kodanikust,sg el,kodanik,7,ohvitser,sg n,ohvitser,elative_attribute,,elative_attribute,elative_attribute
13541008,"Nii-öelda konfiskeerimisele kuulusid söögid , joogid , suitsud , tulemasinad , kirjutusvahendid , lõhnaõlid , deodorandid juukselakid jms . , noad olenemata sellest , kas tegemist oli päris noaga või suveniirist võtmehoidjaga .",või suveniirist võtmehoidjaga,suveniirist võtmehoidjaga,suveniirist võtmehoidja,31,suveniirist,sg el,suveniir,32,võtmehoidjaga,sg kom,võtmehoidja,elative_attribute,huvitav erand,other,other
2283818,"Pärnu volikogu reformierakondlasest esimees Väino Linde ütles , et Keldri 10. juulil erakonna juhatusele saadetud kirjalik lahkumissoov tuli talle ebameeldiva üllatusena , kuigi Kelder oli varemgi rääkinud oma otsusest sügisel kohalike omavalitsuste valimistel mitte kandideerida .",pärnu volikogu reformierakondlasest esimees väino linde,reformierakondlasest esimees,reformierakondlasest esimees,3,reformierakondlasest,sg el,reformierakondlane,4,esimees,sg n,esimees,elative_attribute,,elative_attribute,elative_attribute
4082657,"Kui mõni nimekirjast väljajäänu jõuab hea tulemuseni , ootab teda kohe tunnustus . """,mõni nimekirjast väljajäänu,nimekirjast väljajäänu,nimekirjast väljajäänu,3,nimekirjast,sg el,nimekiri,4,väljajäänu,sg n,väljajäänu,other,u-ending,other,other
14615276,"Tartu Ülikooli prorektor Toivo Maimets on seisukohal , et riigieelarvest ülikoolide ühiselamute remondiks raha leidmine või mitteleidmine on regionaalpoliitiline küsimus .",riigieelarvest ülikoolide ühiselamute remondiks,riigieelarvest remondiks,riigieelarvest remont,10,riigieelarvest,sg el,riigieelarve,13,remondiks,sg tr,remont,error,syntax,other,other
6510697,Egiptlasest endine terrorist Arafat suri mullu 11. novembril Pariisi haiglas 75aastasena .,egiptlasest endine terrorist arafat,egiptlasest terrorist,egiptlasest terror,1,egiptlasest,sg el,egiptlane,3,terrorist,sg el,terror,elative_attribute,,elative_attribute,elative_attribute
14566782,"Pole väliselt palju teil ühist , teda pidada malbeks ei või , ent ta vürstlikult ülevast rühist hing mul terveni mässama lõi .",vürstlikult ülevast rühist hing,rühist hing,rühist hing,17,rühist,sg el,rüht,18,hing,sg n,hing,error,syntax,other,other
