fraas;lause;tase
klaasidest hoone;Arhitekt Madis Eeki poolt ehitatud värvilistest klaasidest hoone on kahekorruseline ja spetsiaalselt klientide vajadusi ja söögikoha nõudmisi arvestav.;gümn
puidust interjöör;Aristokraatlikku õhustikku aitab rõhutada keskaegsele hoonele kohane puidust interjöör.;gümn
punast raamatut;Eestis hakati punast raamatut koostama rahvusvahelise punase raamatu põhimõtete alusel 1975. aastal bioloogiadoktor Eerik Kumari juhtimisel.;gümn
punast raamatut;Et saada teavet väljasuremisohus olevatest ning haruldastest taime- ja loomaliikidest, hakati koostama punast raamatut.;gümn
pargist hoonele;Kontserdipaika jõudnud, seisime mõne minuti täiesti keeletuna - vaade, mis pargist hoonele avanes, oli vapustav.;gümn
järjest vihma;Kui suvel sajab paar päeva järjest vihma, olen halvas tujus.;gümn
odrajahust sepikut;Küpsetati odrajahust sepikut, kooke, väikesi kakukesi.;gümn
ameeriklasest treener;Meie külastuse ajal mängiti ameerika jalgpalli, mida õpetas ameeriklasest treener.;gümn
süütundest vabanemiseks;Mida kõike olen teinud süütundest vabanemiseks.;gümn
punast raamatut;Millal hakati Eestis punast raamatut koostama?;gümn
sünniaastapäevast tekstis;Mitmendast kirjaniku sünniaastapäevast tekstis räägitakse?;gümn
perest perre;Need olid valgetes naisterõivastes noored tüdrukud, kes kadriema juhtimisel lauldes ja tantsides perest perre käisid ja pererahvale head karjaõnne soovisid.;gümn
kevadest rõõmu;Noored ja vanad tahavad üheskoos olla ja kevadest rõõmu tunda.;gümn
sünnist surmani;Põneva päeva saab veeta Vigelandi pargis, kus on imetlemiseks väljas 200 suurt skulptuuri, mis väljendavad kunstnik Gustav Vigelandi visiooni inimese elust kõigis selle faasides sünnist surmani.;gümn
materjalist püksseelik;Tüdrukutel on ebamäärast halli värvi paksust materjalist püksseelik, poisid kannavad pluusi, lipsu ja pikki pükse.;gümn
teisipäevast päeva;Vastlapäev nõudis noorkuud ja teisipäevast päeva.;gümn
kontserdist kuursaalis;Viiniga tutvumist alustame Johann Straussi kontserdist kuursaalis.;gümn
soolist arengut;Anoreksia pidurdab soolist arengut.;gümn
pärast operatsiooni;Kati paranemine pärast operatsiooni oli märgatav.;gümn
tööst vaimustuses;Patsient oli noore hambaarsti tööst vaimustuses.;gümn
töövihikust harjutused;Tehke töövihikust harjutused 8-10.;gümn
pärast kohtumist;Tõeline pööre tuli aga Helle ellu pärast kohtumist Mart Parmasega.;gümn
kunstialast andekust;Artistlikule isiksusele sobivamad elukutsed nõuavad enamasti kunstialast andekust, loovust ja loomingulist valmisolekut.;gümn
perest lapsel;Edukuse võti on sinu iseloom ja seda on võimalik arendada nii rikkast kui ka vaesest perest lapsel.;gümn
eestlasest helilooja;Esimene teada olev eestlasest helilooja oli Carl Friedrich Karell (1791-1857), kes sündis veel pärisorjana, kuid sai Tallinnas vabaks meheks.;gümn
eestlasest dirigendi;Festivali raames toimuvad ka tuntud eestlasest dirigendi Neeme Järvi meistrikursused.;gümn
hulgast esimehe;Fraktsioon valib oma liikmete hulgast esimehe ja aseesimehe.;gümn
elust rõõmu;Ja kõige kurvem on see, et paljud loobuvad võimest elust rõõmu tunda.;gümn
puutükkidest laevukesi;Juba koolis tekkis tulevasel skulptoril huvi kunsti vastu, näiteks armastas ta puutükkidest laevukesi nikerdada.;gümn
õigusaktidest kinnipidamist;Komisjon kontrollib ühistest õigusaktidest kinnipidamist, haldab EL-i eelarvet ja algatab uusi õigusakte.;gümn
pisiasjadest rõõmu;Lenna tunneb pisiasjadest rõõmu.;gümn
energiasõltuvusest vabanemiseks;Milliseid lahendusi pakutakse energiasõltuvusest vabanemiseks?;gümn
võlgadest kõrini;Mul on kaelani võlgadest kõrini.;gümn
inimesest inimest;Riietus ei tee inimesest inimest.;gümn
töövihikust harjutus;Tehke töövihikust harjutus 1.;gümn
töövihikust harjutused;Tehke töövihikust harjutused 2 ja 3.;gümn
tööülesannetest võid;Võid rääkida valmisolekust meeskonnatöö tegemiseks (see näitab, et hoolid teistest inimestest ja nende arvamusest) ja sõltuvalt tööülesannetest võid tegutseda ka üksi.;gümn
sellist elu;Kui inimene elab üldiselt sellist elu, mis talle meeldib, siis on ta muidugi rahul.;gümn
internetist piletid;Ostsime sõbrannadega internetist piletid ja juba järgmisel nädalal astusime bussi peale.;gümn
tööst filmi;Helilooja ja kunstnik esinevad paariminutiliste sõnavõttudega, milles räägivad oma nägemusest filmi kohta ja oma tööst filmi loomisel.;gümn
tõsist suhet;Millised iseloomuomadused peavad olema südametemurdjal ja kust tõsist suhet mitte otsida, sellest rääkisid meile noored.;gümn
tekstist võtmesõnu;Oskan leida tekstist võtmesõnu ja teha nende abil tekstist kokkuvõtet.;gümn
tekstist kokkuvõtet;Oskan leida tekstist võtmesõnu ja teha nende abil tekstist kokkuvõtet.;gümn
silmast silma;Sellise hetke eest hundiga silmast silma kohtuda maksaksid Lääne loodusturistid palju.;gümn
telerist nähtu;Eelkõige vist seda, et telerist nähtu loob käitumise ja suhtumise reeglid.;gümn
telerist nähtu;Ju on vist õige seegi, et juba terve põlvkond eestlasi tunneb elu ja maailma mitte niivõrd oma kogemuse, kui telerist nähtu kaudu.;gümn
sellist firmat;Kas tõesti pole võimalik luua sellist firmat, mis leiaks mahajäetud koertele uued peremehed?;gümn
elust rõõmu;Käisin koolis ja tundsin elust rõõmu.;gümn
raadiost hetkekski;Päeva jooksul ei lahku ma raadiost hetkekski.;gümn
internetist lisaks;Tänaseks saab internetist lisaks Kolga keskkooli koduleheküljele lugeda ka kord kuus ilmuva kooliajalehe online-varianti.;gümn
muinsuskaitsealast tegevust;Auhinda antakse välja arhitektuurimälestiste, kultuurmaastike, kunstikogude ja arheoloogiliste mälestiste säilitamise eest, samuti tunnustatakse kultuuriväärtuste säilitamist käsitlevaid uurimusi ning üksikisikute või organisatsioonide muinsuskaitsealast tegevust.;gümn
metallist kast;Buss ei ole lihtsalt neljarattaline metallist kast, millega tuimalt ühest kohast teise liigutakse.;gümn
kodanikust kandidaat;Eesti kodanikust kandidaat peab olema ametitöös ja perekonna väärtustamisel hea eeskuju ka väljaspool peret.;gümn
roosidest kimp;Emal on valge maani kleit ja ilus pikk loor ning käes heleroosadest roosidest kimp.;gümn
e-kaubandusest loobumise;Erinevalt muust maailmast ei olnud eestimaalaste peamiseks e-kaubandusest loobumise argumendiks turvalisus, vaid see, et tavakaubanduses on tooteid või teenuseid lihtsam ja meeldivam osta (41%), ja see, et Internetist ostes ei olda kindlad ostetava toote kvaliteedis (30%).;gümn
tähest epsilon;Euroopa Komisjonis euro tähistamiseks välja töötatud sümbol € on inspireeritud kreeka tähestiku viiendast tähest epsilon ja viitab sõna Euroopa algustähele.;gümn
silikaatkivist seinale;Hoone silikaatkivist seinale on paigutatud kaljuronimisnukid, mida mööda ronida 15 m kõrgusele.;gümn
kangast riideid;Kannan ainult naturaalsest kangast riideid.;gümn
dieedist kinnipidamine;Kas dieedist kinnipidamine on kerge või raske?;gümn
karjäärist loobumine;Kas karjäärist loobumine lapse nimel on tänapäeva naisele tragöödia?;gümn
töötamisest kinnisvarafirmas;Kas oleksite huvitatud töötamisest kinnisvarafirmas?;gümn
koolipingist tulnuil;Kas teie arvates on keskealistel raskem õppida kui noortel, äsja koolipingist tulnuil?;gümn
rahvusest inimeste;Kas teie usute erinevast rahvusest inimeste abieluõnne?;gümn
arvust klassis;Kas õpilaste arvust klassis sõltub õppimise kvaliteet?;gümn
erialast koolitust;Kavas on hakata uurima turismi mõjusid, levitama teavet ökoturismi kohta ning organiseerima erialast koolitust.;gümn
soomlasest geenius;Kogu maailmas teatakse, et Linus on noor soomlasest geenius, kes võib lammutada maailma rikkaima mehe Bill Gatesi impeeriumi.;gümn
brutopalgast pensionikontole;Kogumispensioni puhul loovutab inimene 2% oma brutopalgast pensionikontole ja riik lisab sellele sotsiaalmaksu arvelt juurde 4%.;gümn
rahvusest inimesega;Kui te abielluksite teisest rahvusest inimesega, mis keel saaks siis teie koduseks keeleks ja missuguses koolis hakkaksid õppima teie lapsed?;gümn
venelasest abikaasa;Kuidas te suhtute sellesse, kui eestlasest ja venelasest abikaasa hakkavad omavahel suhtlema inglise keeles?;gümn
kunstivoolust gootikast;Kunstitunnis räägiti kunstivoolust gootikast Eesti kirikute näidete varal.;gümn
summast osa;Mees võitis mõni kuu tagasi lotoga üle 100 000 krooni ning otsustas annetada sellest summast osa ka heategevuseks.;gümn
tööst välisriigis;Mida te teate tööst välisriigis?;gümn
pangaautomaadist raha;Mida teete pärast seda, kui olete pangaautomaadist raha välja võtnud?;gümn
kursusest osavõtjaid;Missugused elamistingimused ootavad ees kursusest osavõtjaid?;gümn
papirullist tunnelile;Näriliste puuris peaks olema ruumi pesamajakesele, jooksurattale, papirullist tunnelile, liivanõule, heinapallile ja mitmele toidunõule.;gümn
kehahoiust seismisel;Paksus tuleneb hoolimatusest oma keha vastu, halvast kehahoiust seismisel, kõndimisel, istumisel, kummardamisel, ebaõigest hingamisest, valest toitumisest-dieedist ja liialdamistest.;gümn
kodust äraviimist;Perekond on jõuetu, takistamaks asjade kodust äraviimist.;gümn
kevadest sügiseni;Perenaine armastas lilli ja kevadest sügiseni õitsesid tulbid, nelgid, nartsissid, pojengid, astrid, roosid ja gladioolid.;gümn
õuest tulekut;Porise ilma korral pestakse kutsika jalad ja kõhualune pärast õuest tulekut puhtaks ja kuivatatakse korralikult.;gümn
venelannast abikaasa;Soomlasest peremees elab seal koos venelannast abikaasa ja lapsega.;gümn
pärast antibiootikumide;Uuringud näitavad, et probiootiliste bakteritega rikastatud jogurtid taastavad pärast antibiootikumide tarvitamist seedekulgla mikrofloora, soodustavad B- rühma vitamiinide imendumist, langetavad kolesteroolitaset, kiirendavad seedetegevust, lühendavad kantserogeenide eluiga sooltes.;gümn
Internetist ostmise;Uus tehnoloogia on mõeldud Internetist ostmise hõlbustamiseks.;gümn
riidest kotid;Veelgi parem on riidest kotid või seljakott.;gümn
liivast mulda;Õhuke kiht paeklibu, kruusa ja natuke liivast mulda ei pea vett kinni.;gümn
kuuseokstest onne;Ööbimispaika jõudnud, hakatakse ehitama kuuseokstest onne, tehakse lõket.;gümn
isikust ettevõtjana;Üha enam kasutatakse võimalust olla iseendale tööandja ja tegutseda füüsilisest isikust ettevõtjana.;gümn
koolist tööellu;Üleminek koolist tööellu muutub võimalusterohkemaks.;gümn
maakohast universiteeti;Keskajal koondusid ühest maakohast universiteeti studeerima tulnud noorukid pansionitüüpi ühiselamutesse ehk bursadesse.;gümn
krambist ülesaamiseks;Mida soovitatakse teha vees krambist ülesaamiseks?;gümn
pärast sündi;Minu vanemad rääkisid, et nad panid mind Steiner-kooli õpilaskandidaatide nimekirja kohe pärast sündi.;gümn
roolist juhtimisõiguseta;Patrull kõrvaldas roolist juhtimisõiguseta noore naise.;gümn
meevahast küünlaid;Ühel päeval toimus meil hüvastijätuõhtu klassikaaslaste ja klassijuhatajaga, kus me rääkisime, naersime, mängisime ja valmistasime isegi meevahast küünlaid.;gümn
lihast inimesed;Joonisperekond Jetson, utoopilise kodu õnnelik omanik, pani seejärel kogu maailma unistama, et ka luust ja lihast inimesed võiksid liikuda toast tuppa nii, et uksed automaatselt avanevad, et tuled süttivad ja kustuvad nende tulles ja minnes ning tark köögiaparatuur segab ise kokku toniseeriva kokteili.;C1
neljakroonist jäätist;Kui ema andis lapsele viisteist krooni taskuraha ja laps ostis selle eest kaks neljakroonist jäätist, siis kui palju raha tal üle jäi?;C1
kiust kohvrikest;Panipaiku on autos üks, kuhu saab paigutada paar Daueri poolt toodetud ülikergest kiust kohvrikest.;C1
õhtust teatrietendust;Pärast õhtust teatrietendust autoga koju saabudes lähevad maja ees iseenesest tuled põlema - et me kibuvitsapõõsale otsa ei sõidaks.;C1
