lemma,frequency,salience,phrase,sentence
puu,823,5516.514,puust rist,""" Uksi tal ees ei olnud , nende asemel laiutas vaid hiiglasuur puust rist ."
puu,823,5516.514,puust elumaja,"Reede öösel kell 0.42 sai häirekeskus väljakutse Mäksa valda , kus Kaarlimõisa külas oli süttinud ühekorruseline puust elumaja ."
puu,823,5516.514,puust elumaja,"Tallinnas Järvel põles öösel vastu eilset maha kahekordne puust elumaja , mille üks elanik hukkus ."
puu,823,5516.514,puust elumaja,Teisipäeval põles Tallinnas Sepa 9 kahekorruseline puust elumaja .
puu,823,5516.514,puust mees,""" Otsustasin proovida , mis puust mees bulgaarlane on ."
puu,823,5516.514,puust mees,""" Otsustasin proovida , mis puust mees bulgaarlane on ."
puu,823,5516.514,puust mees,"Ega see suurt tähenda , homne jooks näitab , kes mis puust mees on - jooks sobib ju suusatajatele ja laskesuusatajatele võrdselt ."
puu,823,5516.514,puust laud,"Aga ihaldab küll paraku see hing , ihaldab soojust , pehmust , puust lauda ja puust tooli ."
puu,823,5516.514,puust laud,"Lõpuks kandsid nad autosse esivanemate kokku klopsitud lihtsad puust lauad ja toolid , sellised , mida leidub veel igas talumajapidamises ning millel on noatäkked sees ."
puu,823,5516.514,puust laud,Selle all on puust lauad mis vahetevahel krigisevad .
kivi,410,2883.572,Kivist külaline,"Niisiis , Tartusse teatrifestivalile sõidavad : Linnateatri “ Arkaadia ” , Rakvere teatri “ Don Juan ehk Armastus geomeetria vastu ” , “ Vanemuise ” “ Lõoke taeva all ” ( nemad ei sõida Tartusse , nemad juba ongi seal ) , Von Krahli teatri “ Sõduri lugu ” , Draamateatri “ Kured läinud , kurjad ilmad ” , “ Maailmakõiksuse kiireim kell ” ja “ Peiarite õhtunäitus , Ugala “ Spoon River ” ning Eesti Humanitaarinstituudi “ Kivist külaline ehk Don Juan ” ( viimast mängitakse koos Rakvere teatri “ Don Juaniga ” , kolmanda vaatusena teises saalis ) ."
kivi,410,2883.572,Kivist külaline,"Kuna "" Don Giovannis "" ei ole partiid mezzo le , siis võeti tasakaaluks "" Kivist külaline "" , kus Laura osa esitavad Juta Roopalu ( Urve Tauts ) ja Carmen Puis ( Tiiu Levald ) ."
kivi,410,2883.572,Kivist külaline,"Priit Velmre ( Mati Palmi klass ) on kaastegev mõlemas ooperis , kehastades üht Laura austajat "" Kivist külalises "" ja Masettot "" Don Giovannis "" ."
kivi,410,2883.572,kivist hoone,"Aadressil Küti 17 on alles kõik NSV Liidu sõjaväele üle antud kivist hooned ja kaid , lammutatud puitmajade asemele on aga ehitatud kivist või tellistest hooned ."
kivi,410,2883.572,kivist hoone,"Aadressil Küti 17 on alles kõik NSV Liidu sõjaväele üle antud kivist hooned ja kaid , lammutatud puitmajade asemele on aga ehitatud kivist või tellistest hooned ."
kivi,410,2883.572,kivist hoone,"15. sajandil tunnistati Jaritzi sõnul linn ilusaks , kui sel olid sillutatud ja puhtad tänavad , kõrged müürid , palju kindlusetorne , kivist hooned , klaasid akende ees ja katusekivid katustel ."
kivi,410,2883.572,kivist ehitis,"See lihtne kivist ja rauast ehitis on vabaduse sümbol , mille loomisse on panuse andnud nii orjad kui ka suured riigimehed ja milles püsivad ühtviisi elavana nii minevik kui ka olevik ."
kivi,410,2883.572,kivist ehitis,""" Ööl vastu kolmapäeva lõhuti Bekkeri sadamas maatasa enamik Balti Baasi pankrotivara hulka kuuluvatest kapitaalsetest kivist ehitistest ."
kivi,410,2883.572,kivist ehitis,“ Ööl vastu kolmapäeva lõhuti Bekkeri sadamas maatasa enamik Balti Baasi pankrotivara hulka kuuluvatest kapitaalsetest kivist ehitistest .
kivi,410,2883.572,kivist tööriist,Tema sõnul annab ise kivist tööriistade valmistamine kiviaja kombel palju juurde kiviaja tundmisele .
kivi,410,2883.572,kivist tööriist,"Aastasajad tagasi arvati , et kivist tööriistad on tekkinud pikselöögist , ” ütles Tsirk ."
kivi,410,2883.572,kivist tööriist,"Ja ka üht pisikest eksperimenti , kas primitiivsete vahenditega- see tähendab kivist tööriistad jne oleks võimalik neid va suuri kuulsaid Lihavõttesaare kujukesi välja tahuda / kohale vedada / püstitada ."
kivi,410,2883.572,kivist sein,"Võõrale silmale on õu siiski nähtamatu , sest seda piiravad kõrge puutara ja maja madalama korruse kivist sein ."
kivi,410,2883.572,kivist sein,"Kahekordses kivimajas Koidu tn 79 pakkus Kesklinna valitsus põlenguohvrile korterit , kus tulest on järele jäänud vaid kivist seinad ."
kivi,410,2883.572,kivist sein,"45x15 meetrisel lahmakal kasarmul põles katus maha , kuid kivist seinad ja betoonpaneelidest lagi jäid püsti ."
plastmass,389,2845.022,plastmassist pea,"Seljas oli tal hallikas kapuutsiga jope , mille taskus oli hallist metallist võti , rohelisest plastmassist peaga taskunuga ja roosad kootud kindad ."
plastmass,389,2845.022,plastmassist pea,Kollane plastmassist peaga kruvikeeraja oli Pärnust Oja kauplusest ostetud krõpsupakis Ossi Krõps .
plastmass,389,2845.022,plastmassist pea,"Segodnja pakkus , et hulgas kuritegudes kahtlustatava ja süüdistatava Radujevi süüdimõistmisega võib Vene kohtul probleeme tulla , kuna “ pooleldi plastmassist peaga ” ja vaimsete häiretega välikomandör võib osutuda süüdimatuks ."
plastmass,389,2845.022,plastmassist pudel,"Sissepääsul staadionile kontrollitakse ja takistatakse isikuid , kelle suhtes on turvatöötajal tekkinud järgmised kahtlused : külastaja on tugevas alkoholijoobes või uimastite mõju all ; külastaja on kaasa võtnud alkoholi ; külastajal on kaasas klaastaara ( konfiskeerida võidakse ka plastmassist pudelid ) ; lisaks muidugi relvad ja pürotehnika ."
plastmass,389,2845.022,plastmassist pudel,Kokku loobiti rahva sekka kuus tomatit ja neli plastmassist pudelit .
plastmass,389,2845.022,plastmassist pudel,"Sissepääsul staadionile kontrollitakse ja takistatakse isikuid , kelle suhtes on turvatöötajal tekkinud järgmised kahtlused : külastaja on tugevas alkoholijoobes või uimastite mõju all ; külastaja on kaasa võtnud alkoholi ; külastajal on kaasas klaastaara ( konfiskeerida võidakse ka plastmassist pudelid ) ; lisaks muidugi relvad ja pürotehnika ."
plastmass,389,2845.022,plastmassist asi,"Nii pika läbisõidu peale mingi plastmassist asjaga tuli ikka vist tohutult taluda peas kolisemist , logisemist ja vihisemist ja mida veel ."
plastmass,389,2845.022,plastmassist asi,Nii pika läbisõidu peale mingi plastmassist asjaga tuli ikka vist
plastmass,389,2845.022,plastmassist asi,Aga mina lugesin seda vägaväga enne kui tulid igasugused filmid ja plastmassist asjad .
plastmass,389,2845.022,plastmassist kast,"Miks peab laual olema hiigelsuur heledast plastmassist kast , mis näitab pilti ?"
plastmass,389,2845.022,plastmassist kast,"Läbiotsimisel leiti sõiduauto Volkswagen Passati pagasiruumist kaks musta värvi plastmassist kasti , milles pakendatud hašiš oli peidetud kartulite alla ."
plastmass,389,2845.022,plastmassist kast,"Läbiotsimise käigus leiti sõiduauto Volkswagen Passat pagasiruumist kaks musta värvi plastmassist kasti , milles pakendatud hašiš oli peidetud kartulite alla , "" seisab süüdistuses ."
plastmass,389,2845.022,plastmassist mänguasi,Ta on väga loova iseloomuga ja lihtsad plastmassist mänguasjad huvitavad teda palju rohkem kui mingid keerulised vidinad . »
plastmass,389,2845.022,plastmassist mänguasi,"Igasugu plastmassist mänguasjad , mis olid sellised venepärased , Norma mänguasjad nt."
plastmass,389,2845.022,plastmassist mänguasi,"Tema kodu on nagu Segasumma suvila , täis kõige kaunimaid ja tavalisemaid asju : hinnalisi kunstiteoseid , roostetanud plekkpurke , veneetsia peegleid , ühekordseks kasutamiseks mõeldud lauariistu , hõbedat , kristalli ja 1950. aastatest pärit plastmassist mänguasju ."
materjal,386,2421.024,materjalist sisetald,Kanda tasuks kindlasti naturaalsest materjalist õhku läbilaskvaid jalanõusid ning imavast materjalist sisetaldu .
materjal,386,2421.024,materjalist sisetald,"1 Välja arvatud jalatsid , mille valmistamisel kasutatakse eritehnoloogiat : spordijalatsid , mille paari cif-hind on vähemalt 9 eküüd , millel on ühe- või mitmekihiline vormitud , õmblusteta sünteetilisest materjalist sisetald , mis on spetsiaalselt välja töötatud vertikaal- või külgliikumise mõju pehmendamiseks ja mille tehnilised omadused on saavutatud näiteks gaasi või vedelikku sisaldavate hermeetiliste polstritega , põrutusi vähendavate või neutraliseerivate mehhaaniliste osadega või väikese tihedusega polümeermaterjalidega ."
materjal,386,2421.024,materjalist sisetald,"b ) jalatsid , mille valmistamisel kasutatakse eritehnoloogiat : spordijalatsid , mille paari cif-hind on vähemalt 9 eküüd , millel on ühe- või mitmekihiline vormitud , õmblusteta sünteetilisest materjalist sisetald , mis on spetsiaalselt välja töötatud vertikaal- või külgliikumise mõju pehmendamiseks ja mille tehnilised omadused on saavutatud näiteks gaasi või vedelikku sisaldavate hermeetiliste polstritega , põrutusi vähendavate või neutraliseerivate mehhaaniliste osadega või väikese tihedusega polümeermaterjalidega . ”"
materjal,386,2421.024,materjalist püks,"VALE : Valge liibuv kampsun muudab figuuri laiaks ja kohmakaks , nagu ka õhukesest materjalist püksid ."
materjal,386,2421.024,materjalist püks,"Valge liibuv kampsun teeb figuuri laiaks ja kohmakaks , nagu ka õhukesest materjalist püksid ."
materjal,386,2421.024,materjalist püks,Ka ei veni sellest materjalist püksid põlvede ja istmiku kohalt nii kiiresti välja .
materjal,386,2421.024,materjalist kott,"Mood soosib ka pealtpoolt kaarja lõikega , ümarate vormidega tugevast materjalist kotte ."
materjal,386,2421.024,materjalist kott,Nii telki kui ka magamiskotti ja sööginõusid mahutava ( mahtuvus 40 – 55 liitrit ) vastupidavast materjalist koti saab osta 450 – 500 krooni eest .
materjal,386,2421.024,materjalist kott,"See on tugevast materjalist kott , mis on varustatud avadega , mille läbimõõt on umbes viis sentimeetrit ."
materjal,386,2421.024,materjalist toode,"Ostuhimulised teavad kindlasti , et Firenzest pärit nahkrõivad ja muud sellest materjalist tooted on maailma hinnatuimate seas ."
materjal,386,2421.024,materjalist toode,"Grupp 68 Kivist , kipsist , tsemendist , asbestist , vilgukivist jms materjalist tooted"
materjal,386,2421.024,materjalist toode,".. 68 Kivist , kipsist , tsemendist , asbestist , vilgukivist jms materjalist tooted 904 266"
materjal,386,2421.024,materjalist sokk,"Õhukesest villasest ja puuvillasest materjalist sokid on kõige jalasõbralikumad , kuid ka naturaalsete ja sünteetiliste kiudude segust valmistatud sokid on tänapäeval õhku läbilaskvad ja mugavad ."
materjal,386,2421.024,materjalist sokk,"Flegmaatik hindab kõrgelt praktilisi kinke , mida ta saaks kaua kasutada , olgu see siis laualamp või kulumatust materjalist soojad sokid ."
materjal,386,2421.024,materjalist sokk,"Flegmaatik hindab kõrgelt praktilisi kinke , mida saaks kaua kasutada , olgu see siis laualamp või kulumatust materjalist soojad sokid ."
nahk,330,2251.421,nahast king,"Kui 80. aastatel võis selle kultuse märgiks olla mõni tagasihoidlik pingi sisse lõigutud DM , siis nüüdseks on see asendunud nahast pükste , musta särgi ja ( sic ! ) nahast kingadega , ühesõnaga klubilise tegevusega ."
nahk,330,2251.421,nahast king,Ehtsast nahast kingad ja spordijalanõud lasevad jalgadel hingata ja järgivad hästi jalakuju .
nahk,330,2251.421,nahast king,"Kandis halli impregneermaterjalist voodriga tulepluusi , valge-roheliste triipudega puuvillast spordisärki , halle villaseid ülikonnapükse , pruunist nahast kingi ."
nahk,330,2251.421,nahast tugitool,"Peale selle on siia-sinna paigutatud mugavad tumedad nahast tugitoolid , juhuks kui mõni raamat tundub eriti huvitav ja nõuab pikemat sirvimist ."
nahk,330,2251.421,nahast tugitool,Massiivsed valgest nahast tugitoolid uputavad sinna istuva Kreitzbergi .
nahk,330,2251.421,nahast tugitool,"Selle puhtuse keskel aga nahast tugitool , küljed süsimustad , tõrvaga immutatud ; puust pidemed meenutasid trooni käepidemeid ."
nahk,330,2251.421,nahast jalats,"Sellisest nahast jalatseid on lihtne hooldada : kõigepealt tuleb neilt eemaldada lahtine pori , lasta kuivada , siis katta jalats kreemi , vaha või rasvaga ."
nahk,330,2251.421,nahast jalats,"Ehtsast nahast jalatsid on muudetud värvikirevaks , isegi õmblused säravad ja sillerdavad ."
nahk,330,2251.421,nahast jalats,Ka firma Jacoform on hakanud valmistama erkpunaseid nahast jalatseid .
nahk,330,2251.421,nahast saabas,Parema puudumisel kannab kunsntik nn Dr Martenseid - roomiktallaga pealt nööritavaid nahast saapaid .
nahk,330,2251.421,nahast saabas,"Seljas on naisel lillakas pullover , hallikas kapuutsiga mantel , tumesinised teksad ja mustad pööratud nahast pikemad saapad ."
nahk,330,2251.421,nahast saabas,"Seljas oli lillakas pullover , hallikas kapuutsiga mantel , tumesinised teksad ja mustad pööratud nahast pikemad saapad ."
nahk,330,2251.421,nahast rihm,"Jalas sinised Lee Cooperi teksad , vööl Marlboro Classicsi nahast rihm ."
nahk,330,2251.421,nahast rihm,Lisaks veel Proel-i 5m juhe ja nahast rihm .
nahk,330,2251.421,nahast rihm,"Hukkunu riietest oli säilinud vaid nahast rihm , kuid rihma küljes ei olnud sõjaväepannal , vaid tavaline pannal ."
teras,307,2194.799,terasest närv,"Kas mõrvari terasest närvid üllatasid teid : tapmiskohast 100 meetri kaugusel on liikluspolitsei , keskpäeval liigub Lastekodu tänaval palju turulisi , kitsas trepikojas võib iga hetk keegi prügiämbriga alla minna ?"
teras,307,2194.799,terasest närv,"Praegugi kõlavad aktuaalselt read “ Kraavitajatest ” : “ Kes külakooliõpetajaks hakkab , sel olgu raudne tervis , terasest närvid ja teemandist tahtmine ."
teras,307,2194.799,terasest närv,Neil poistel on ilmselgelt terasest närvid .
teras,307,2194.799,terasest lehtvaltstoode,Näiteks suurimas imporditavas kaubagrupis ( rauast või legeerimata terasest lehtvaltstooted ) oli imporditava metalli keskmine tonnihind 2001. a 7354 krooni .
teras,307,2194.799,terasest lehtvaltstoode,"Metallitoodete osas on suurimaks kaubagrupiks rauast või legeerimata terasest lehtvaltstooted , mida imporditi 2001. aastal 195 000 tonni , kokku 1 , 4 miljardi krooni väärtuses ."
teras,307,2194.799,terasest lehtvaltstoode,"25.0210 7208 Rauast või legeerimata terasest lehtvaltstooted , laiusega 600 5421 tonni"
teras,307,2194.799,terasest pann,Roostevabast terasest pannid on emaileeritutest vastupidavamad .
teras,307,2194.799,terasest pann,"Roostevabast terasest pannid tuleb puhastada pehme pesuainega , nad kannatavad ka masinpesu ."
teras,307,2194.799,terasest pann,Roostevabast terasest pannid : 393 – 563 kr
teras,307,2194.799,terasest pott,"Roostevabast terasest potti on kerge läikima hõõruda , kui seda eelnevalt kuuma veega loputada ."
teras,307,2194.799,terasest pott,"Kolmekordse kõrbemisvaruga roostevabast terasest potid ja pannid , teflonist kaks korda vastupidavama kaitsekihi , silverstoniga kööginõud või Hackmanni aurupotid on kindlasti tõhusad riistad ."
teras,307,2194.799,terasest pott,"Roostevabast terasest pott läheb vikerkaarevärviliseks , kui järsult on muudetud kuumusastet ."
teras,307,2194.799,terasest nuga,""" See on ilmselt Eestis esimene pulbermetallurgilisest damaskuse terasest nuga ."
teras,307,2194.799,terasest nuga,""" See on ilmselt Eestis esimene pulbermetallurgilisest damaskuse terasest nuga ."
teras,307,2194.799,terasest nuga,"Näitus « Triibuline raud Damaskuse terasest noad ja mõõgad » on kokku pandud sepp Tõnu Arraku töödest ( pildil Tõnu Arraku nuga ) ning vanadest külmrelvadest , mis pärit ajaloomuuseumi kogust ."
pronks,293,2173.515,pronksist kuju,Mis selle pronksist kujuga ikka juhtuda sai . . . ”
pronks,293,2173.515,pronksist kuju,"3,4 meetri kõrgust pronksist kuju ( autorid on skulptor Mihhail Belov ja arhitekt Vladimir Vassilkovski ) nimetatakse justkui taevast sadanuks : peterburilasi kuju püstitamisse ei pühendatud , rääkimata konkursita saadud kavandi tutvustamisest ."
pronks,293,2173.515,pronksist kuju,Pärnulased tahavad kuursaali kõrvale püstitada pronksist Raimond Valgre kuju .
pronks,293,2173.515,pronksist koopia,"Üleile hilisõhtul kurjategijate küüsi langenud kuju polnud originaal , vaid selle pronksist koopia ."
pronks,293,2173.515,pronksist koopia,"Mälestusammas avati 1996. aastal , tegu on Amandus Adamsoni skulptuuri pronksist koopiaga ."
pronks,293,2173.515,pronksist koopia,Roosiaia tarvis valati Mikoffi kipskuju järgi pronksist koopia .
pronks,293,2173.515,pronksist autasu,"Paremini läks Vilma Nugisel , kes sai ühe hõbemedali ja kolm pronksist autasu ."
pronks,293,2173.515,pronksist autasu,"Villu Pruulmann ja Peeter Becker lõpetasid võistlused Anne kanalil kolme kuldmedaliga , Beckeril veel kaks hõbedast ja Pruulmannil kaks pronksist autasu ."
pronks,293,2173.515,pronksist autasu,Treener Tõnu Kinksi sõnul on Nugis viimasel ajal jõudsalt edenenud - 1997. a EMil sai ta hõbemedali ja kolm pronksist autasu .
pronks,293,2173.515,pronksist skulptuur,"Politsei palub abi 40-aastase Sergei Viktori leidmiseks , kes läinud nädalal oli Tartu Kunstimuuseumilt varastanud pronksist skulptuuri ."
pronks,293,2173.515,pronksist skulptuur,"Korrastamist vajab ka Russalka tipus olev pronksist skulptuur , mis oleks vaja roostekaitsega töödelda ."
pronks,293,2173.515,pronksist skulptuur,"12. - 15. juunini 2002. a. toimuvate juubelipidustuste tippsündmuseks kujuneb 15. juunil skulptor Tauno Kangro loodud 8 meetri pikkuse , 6,5 meetrit kõrge ja 10 tonni kaaluva pronksist TARVA skulptuuri avamine Vallimäel ."
pronks,293,2173.515,pronksist bareljeef,Skulptor Jaan Koorti Saaremaa marmorist hauamonumendi külge on kavas kinnitada uus pronksist bareljeef .
pronks,293,2173.515,pronksist bareljeef,Jaan Koorti Saaremaa marmorist hauamonumendi külge kinnitatakse uus pronksist bareljeef .
pronks,293,2173.515,pronksist bareljeef,""" Ta teostas vanade fotode ja ühe väikese pronksist poisikese alusel terve Pärnu vabadussamba koos pronksist bareljeefidega , "" märkis Tummi ."
