lemma,frequency,salience,phrase,sentence
isik,2978,21565.245,isikust esindaja,"Käesoleva seaduse §- des 191 , 192 või 193 sätestatu rikkumise korral loetakse vastavat keeldu rikkunuks ka siseteavet omav juriidilise isiku füüsilisest isikust esindaja , kes andis nõusoleku §- des 191 , 192 või 193 sätestatud teo tegemiseks või töö- või käsunduslepingu alusel või muul alusel esindas juriidilist isikut teo tegemisel , millega rikuti §- des 191 , 192 või 193 sätestatut ."
isik,2978,21565.245,isikust esindaja,"( 2 ) Käesoleva paragrahvi lõikes 1 sätestatud kohustus esitada inspektsioonile andmed emitendi väärtpaberite omandamise või võõrandamise kohta enda arvel laieneb ka juriidilisele isikule , kelle füüsilisest isikust esindaja omab juurdepääsu siseteabele ."
isik,2978,21565.245,isikust esindaja,"3 ) füüsilisest isikust ühise esindaja korral tema ees- ja perekonnanimi ning elukoha või ettevõtte asukoha aadress , juriidilisest isikust ühise esindaja korral tema nimi ;"
eestlane,1267,8642.708,eestlasest narkokuller,Eesti Interpol : Iiri tolliametnikes äratas tähelepanu ühe eestlasest narkokulleri jõhker nägu
eestlane,1267,8642.708,eestlasest narkokuller,Soomes on vangis paarkümmend eestlasest narkokullerit
eestlane,1267,8642.708,eestlasest narkokuller,Kaljuranna sõnul kannab Soomes praegu karistust paarkümmend eestlasest narkokullerit .
eestlane,1267,8642.708,eestlasest ärimees,"Kanadas ja Ameerikas on heategevus üks elu kindel ja loomulik osa , selgitas mitme heategevusprojekti pärast Tallinnas viibinud Kanada eestlasest ärimees ja Eesti Kesknõukogu liige Ülo Isberg ."
eestlane,1267,8642.708,eestlasest ärimees,"Kui näiteks eestlasest ärimees saaks muulase töölevõtmise korral maksusoodustusi , oleks segakollektiive märksa rohkem ."
eestlane,1267,8642.708,eestlasest ärimees,"Soomes Tampere ringkonnakohtus jätkub reedel protsess ulatusliku kullamüügiafääri üle , millega on seotud vähemalt üks eestlasest ärimees ."
eestlane,1267,8642.708,eestlasest linnapea,"Vist peaks igaks juhuks lisama , et Poska oli teine eestlasest Tallinna linnapea ja esimene Eesti välisminister , tal on suured teened Eesti välissuhtluses 1918 - 1919 ja Tartu rahuläbirääkimiste delegatsiooni juhina ."
eestlane,1267,8642.708,eestlasest linnapea,"1902 valiti Valga linnapeaks apteeker Johannes Märtson , esimene eestlasest linnapea Eesti ajaloos , kes püsis sellel kohal 1917. aastani ."
eestlane,1267,8642.708,eestlasest linnapea,Päeval käiakse Jaan Poska ja Tallinna esimese eestlasest linnapea Voldemar Lenderi haual küünlaid süütamas .
eestlane,1267,8642.708,eestlasest ründaja,"Läinud nädalal NBA meistermeeskonnast Chicago Bullsist vabaks lastud Müürsepale pakkus Ühendriikides lepingut Phoenix Suns , kuid eestlasest ründaja eelistas naasta Euroopasse ."
eestlane,1267,8642.708,eestlasest ründaja,207 cm pikkune eestlasest ründaja lõpetas kohtumise kaheksa punktiga .
eestlane,1267,8642.708,eestlasest ründaja,"Taani liigas alistas Andres Operi koduklubi Aalborg kodus liidri Viborgi 1 : 0 , eestlasest ründaja tuli platsile 69. minutil ."
eestlane,1267,8642.708,eestlasest sõber,"Juba viiendat nädalat Filipiini islamimässuliste käes pantvangis viibiv soomlane Risto Vahanen on suur Eesti-sõber , kes tunneb huvi eel-kõige meie kultuuri vastu , ütles tema eestlasest sõber ja koostööpartner Ants Teppe ."
eestlane,1267,8642.708,eestlasest sõber,"Soome Instituudis istus teleka ette pea poolsada Eestis elavat soomlast ja Soome eestlasest sõpra , et valida Soome kõikide aegade parim eurolaul ."
eestlane,1267,8642.708,eestlasest sõber,"Pärnus turvamehena töötanud Hardo Kers tunnistas oma elukaaslasele , et tappis Tais elava eestlasest sõbra tellimusel sealse vene ärimehe ."
keskerakondlane,709,5226.385,keskerakondlasest abilinnapea,"Sotsiaalabi- ja rahandusosakonna ettepanek kärpida lapse aastaseks saamise puhul makstavat toetust sai kooskõlastuse volikogu sotsiaalkomisjonist , sellele ei hakanud vastu ka keskerakondlasest abilinnapea Aleks Lenzner , kelle haldusalas on tervishoid ja sotsiaalküsimused ."
keskerakondlane,709,5226.385,keskerakondlasest abilinnapea,Hoolimata Koonderakonna ja Maarahva ühenduses püsivatest erimeelsustest toetab Koonderakond Reformierakonna kaasamist valitsusliitu ja ei vaidlusta umbusaldusavaldust Tallinna volikogu esimehe Edgar Savisaare ja kolme keskerakondlasest abilinnapea suhtes .
keskerakondlane,709,5226.385,keskerakondlasest abilinnapea,"seadis Valika ebaotstarbeka raha kasutamise eest karistamise üldse kahtluse alla , kuna Keskerakonda kuuluvad linnavolinikud on selleks targu valinud venitamistaktika , et mitte tuua ohvriks Valika probleemide võtmefiguuri , keskerakondlasest abilinnapead Kalev Kallot ."
keskerakondlane,709,5226.385,keskerakondlasest liige,"” Ja tuligi võimule Riigikogu keskerakondlasest liikme Sven Mikseri kunagine suur paleus , onu Lenin ."
keskerakondlane,709,5226.385,keskerakondlasest liige,"See sunnib tegema otsuseid , mis majanduslikust vaatevinklist ei pruugi olla kõige ökonoomsemad , kuid mis on vajalikud eeskätt väiksema maksujõuga elanikele ning mis aitavad ka linna ja linnaõhu puhta hoida , "" ütles Tartu linnavolikogu keskerakondlasest liige Tõnu Kauba ."
keskerakondlane,709,5226.385,keskerakondlasest liige,Riigikogu tänavuse kahe esimese töötsükli jooksul käis enim välismaal tööülesandeid täitmas väliskomisjoni aseesimees ja ELi asjade komisjoni keskerakondlasest liige Enn Eesmaa .
keskerakondlane,709,5226.385,keskerakondlasest esimees,Otsusel on Tallinna õigusvastaselt võõrandatud vara tagastamise komisjoni keskerakondlasest esimehe Vladimir Viiese ja sekretär Reet Siku allkirjad .
keskerakondlane,709,5226.385,keskerakondlasest esimees,"“ Eesti keeles öeldakse , et lakkuge panni , ” kommenteerib seaduseelnõu Riigikogu keskkonnakomisjoni keskerakondlasest esimees Arvo Haug ."
keskerakondlane,709,5226.385,keskerakondlasest esimees,"Tallinna linnavolikogu koalitsioon näitas eile üles ebakindlust , kui volikogu Isamaaliidu fraktsiooni liige Andres Udal nurjas linnavarakomisjoni keskerakondlasest esimehe Liina Tõnissoni umbusaldushääletuse ."
keskerakondlane,709,5226.385,keskerakondlasest linnapea,"Võimukriis Narvas algas 26. oktoobril , kui linnavolikogu umbusalduse tõttu lahkus ametist keskerakondlasest linnapea Eldar Efendijev ."
keskerakondlane,709,5226.385,keskerakondlasest linnapea,"Reedel esitati umbusaldusavaldus Narva keskerakondlasest linnapeale Eldar Efendijevile , kelle sõnul on umbusaldusavalduse taga kohalike soojatootjate huvigrupid , kes näevad linnavalitsuses jõudu , mis takistab liiga kõrgete soojatariifide kehtestamist ."
keskerakondlane,709,5226.385,keskerakondlasest linnapea,"Reedel esitati umbusaldusavaldus Narva keskerakondlasest linnapea Eldar Efendijevile , kelle sõnul on umbusaldusavalduse taga kohalike soojatootjate huvigrupid , kes näevad linnavalitsuses jõudu , mis takistab liiga kõrgete soojatariifide kehtestamist ."
keskerakondlane,709,5226.385,Keskerakondlasest abilinnapea,"Keskerakondlasest abilinnapea Aleks Lenzner , kes taotles linnavolikogult narkoprojektile raha , kinnitas , et ühtegi senti projekti rahast ei kulutatud valimiskampaaniale ."
keskerakondlane,709,5226.385,Keskerakondlasest abilinnapea,Keskerakondlasest endine abilinnapea Mait Metsamaa pidas seda täiesti võimalikuks .
keskerakondlane,709,5226.385,Keskerakondlasest abilinnapea,Keskerakondlasest abilinnapea tegi reklaami sotsiaalsele ebaõiglusele .
ameeriklane,705,4803.704,ameeriklasest tagamees,Sakslasest äär Denis Wucherer ja ameeriklasest tagamees Melvin Booker olid Sony parimad skooritegijad ja ka lauavõitlejad ( ! ) 21 punkti ja 8 lauapalliga .
ameeriklane,705,4803.704,ameeriklasest tagamees,Eelviimasel kohal asuva Ehitustööriistaga peaks aeg-ajalt meeskonda treeniva hollandlase Maarten van Genti vahendusel peagi liituma uus ameeriklasest tagamees .
ameeriklane,705,4803.704,ameeriklasest tagamees,"Praegune seis on minu arust vägagi nauditav , » rääkis Ehitustööriista resultatiivseimana 16 punkti visanud ameeriklasest tagamees Howard Frier ."
ameeriklane,705,4803.704,ameeriklasest keskmängija,"Kolmes eurosarjas kokku kaheksa korda võitjana triumfeerinud Milano meeskonna liidrina jookseb platsile 208 cm pikkune ameeriklasest keskmängija DeMarco Johnson , kes oktoobrikuise mängu Tallinnas perekondlikel põhjustel vahele jättis ."
ameeriklane,705,4803.704,ameeriklasest keskmängija,Kuid Rock eesotsas ameeriklasest keskmängija Brian Cusworthiga näitas hambaid .
ameeriklane,705,4803.704,ameeriklasest keskmängija,Pühapäeval elas Pärn üle ka Rootsi-karjääri esimese trauma - kolmanda veerand-aja algul enne pealtpaneku üritust sõitis talle sisse Rytase ameeriklasest keskmängija Greg Grant .
ameeriklane,705,4803.704,ameeriklasest mängujuht,“ Zhalgirise ameeriklasest mängujuht Tyus Edney vapustas kiirusega - talle oli kohtumine Kaleviga nagu meelelahutus . ”
ameeriklane,705,4803.704,ameeriklasest mängujuht,"Praegu on asendamatu üksnes ameeriklasest mängujuht John Holden , kelle kaudu käivad kõik rünnakud ."
ameeriklane,705,4803.704,ameeriklasest mängujuht,Kalevi korvpalliklubi uusim täiendus on eile pärastlõunal Tallinna saabunud 185-sentimeetrine ameeriklasest mängujuht Ron Bayless .
ameeriklane,705,4803.704,ameeriklasest äär,"Müürsepa ja mängiva treeneri Sergei Bazarevitši kõrvale on hangitud Venemaa koondise kandidaadid Nikita Morgunov , Dmitri Domani ja Aleksandr Miloserdov , ameeriklasest äär Derek Hamilton , jamaikalasest tsenter Kimani Ffriend ."
ameeriklane,705,4803.704,ameeriklasest äär,"Magicu liider on 206sentimeetrine ameeriklasest äär Mark Sanford , Polonial Jugoslaavia tagamees Sladjan Stojkovic ."
ameeriklane,705,4803.704,ameeriklasest äär,"Homme peaks klubisse testimisele saabuma kolmaski välismaalane 201 cm pikkune ameeriklasest äär Greg McQuay , kes mullu mängis Norras ."
ameeriklane,705,4803.704,ameeriklasest tsenter,Lisaks Müürsepale peaks Saloniki klubi tänasel pressikonverentsil teatama ka ameeriklasest tsentri Randy White'i värbamisest .
ameeriklane,705,4803.704,ameeriklasest tsenter,"See-eest agent Maarten van Genti arvates võib palga kahandamise ettepanek viia kahe tema « hoolealuse » , ameeriklasest tsentri Larry Danielsi ja eestlasest ääre Leho Kraavi lahkumiseni ."
ameeriklane,705,4803.704,ameeriklasest tsenter,Eile Tallinna jõudnud ameeriklasest tsenter Seth Sundberg on ühe Kalevi korvpalluriga juba varem koos mänginud - eelmise hooaja esimese poole veetis ta Vene klubis Permi Ural Great koos venelasest ääre Andrei Laletiniga .
reformierakondlane,640,4765.2,reformierakondlasest linnapea,"“ Paljudele esindan just mina Tartus Reformierakonda , minu valimine Riigikokku oli ka usaldusavaldus reformierakondlasest linnapeale , ” ütles Ansip , kes soovib jätkata vähemalt sügiseste kohalike valimisteni ."
reformierakondlane,640,4765.2,reformierakondlasest linnapea,"“ Pinged on maha võetud ja võimuliit jääb Tartus alles , ” nentis reformierakondlasest Tartu linnapea Andrus Ansip , kes võitles mitu kuud politseinike lauskoondamise vastu ."
reformierakondlane,640,4765.2,reformierakondlasest linnapea,"“ Ka Isamaaliidu piirkondlik juhatus nõustus , et politseinike lauskoondamine ei taga tartlaste turvalisust , ” nentis koondamise vastu mässu tõstnud reformierakondlasest linnapea Andrus Ansip ."
reformierakondlane,640,4765.2,reformierakondlasest esimees,"Vastne reformierakondlasest Tallinna linnavolikogu esimees Rein Voog ( 34 ) möönis , et ametikohtade jagunemine linnavalitsuses on baaskokkulepetega põhimõtteliselt paika pandud , kuid konkreetseid kokkuleppeid seni veel allkirjastatud ei ole ."
reformierakondlane,640,4765.2,reformierakondlasest esimees,"“ Küsimus ei ole mitte nii väga just selles maatükis , vaid linnapea Jüri Mõisa üldisemas plaanis erinevate objektide müügile või rendile andmise korral konkursse enam mitte korraldada , kuna selline käitumine võib kahjustada linna huve , ” rääkis Tallinna linnavolikogu reformierakondlasest esimees Rein Voog ."
reformierakondlane,640,4765.2,reformierakondlasest esimees,"Riigikogu reformierakondlasest esimehel Toomas Savil ei ole sellise terava küsimuse vastu ilmselt midagi , sest ta taotleb ise avalikult parlamendi muutmist senisest mõjusama poliitilise võitluse areeniks ."
reformierakondlane,640,4765.2,reformierakondlasest abilinnapea,Pärnu reformierakondlasest abilinnapea Einar Kelderi hinnangul käitusid koalitsioonipartneritest volikogu liikmed vastutustundetult kutsudes linnapea ja volikogu esimehe äraolekul kokku erakorralise volikogu istungi .
reformierakondlane,640,4765.2,reformierakondlasest abilinnapea,Virkuse sõnul on EBRD nõustajaks kaasamisega nõus ka ühistransporti kureeriv reformierakondlasest abilinnapea Priit Vilba .
reformierakondlane,640,4765.2,reformierakondlasest abilinnapea,Vähemalt kaks Tallinna reformierakondlasest abilinnapead Rein Lang ja Toivo Ninnas lahkub ametist .
reformierakondlane,640,4765.2,reformierakondlasest liige,"Linnavolikogu reformierakondlasest liige Rein Voog oli esitanud Lepa vastaskandidaadiks Koonderakonda kuuluva abilinnapea Ants Leemetsa , sest tema väitel vajab Tallinn ka kuni sügiseni tugevat juhti ."
reformierakondlane,640,4765.2,reformierakondlasest liige,"Neile oponeeris volikogu reformierakondlasest liige Valve Kirsipuu , kes oli veendunud , et linnajuhid lükkavad turgu praeguse kommertsdirektori Vadim Polishtshukiga seotud ja turul pikaajalise rendilepingu saanud Abring OÜ , OÜ Lepla Kaubandus ja AS Dzebeti valdusse ."
reformierakondlane,640,4765.2,reformierakondlasest liige,Hoolimata põllumajanduse otsetoetuse saajate nimede avalikustamisest Maalehes arvustab Riigikogu reformierakondlasest liige Ignar Fjuk toetuste jagamist edasi .
reformierakondlane,640,4765.2,Reformierakondlasest abilinnapea,"Reformierakondlasest abilinnapea meelest aga pole Kultuurkapital lihtsalt koht , kus - "" Eriti veel juhtival parteil !"
reformierakondlane,640,4765.2,Reformierakondlasest abilinnapea,"Reformierakondlasest abilinnapea Rein Langi sõnul tekitavad arengukavas erimeelsusi kolm teemat : üüri piirmäära vabakslaskmine , munitsipaalpolitsei loomine ning pensionäridele lisatoetuse maksmine linnakassast ."
reformierakondlane,640,4765.2,Reformierakondlasest abilinnapea,Reformierakondlasest abilinnapea Rein Langi sõnul ei tulnud Siigur oma tööga toime .
soomlane,604,4176.886,soomlasest peatreener,"Soosiku soomlasest peatreener Pasi Rautiainen riskis , kui vahetas viimaseks veerandtunniks kaitsja Igor Prinsi asemel platsile ründaja Eduard Ratnikovi ."
soomlane,604,4176.886,soomlasest peatreener,"Küsitav on , kas soomlasest peatreeneri Pasi Rautio tulek tõi oodatud efekti ."
soomlane,604,4176.886,soomlasest peatreener,Uuenenud Eesti koondist juhendab soomlasest peatreener Vesa Surenkin .
soomlane,604,4176.886,soomlasest omanik,Ole sa kas või soomlasest omanik .
soomlane,604,4176.886,soomlasest omanik,"Muinuskaitse peatas Lääne-Virumaal Malla mõisa taastamistööd , sest selle soomlasest omanik eiras esitatud nõudmisi ."
soomlane,604,4176.886,soomlasest omanik,Tartu Soojuse soomlasest omanik hommikul tuleb ja õhtul läheb lennukiga .
soomlane,604,4176.886,soomlasest liige,"Kritiseerijatega polnud nõus Rahvusvahelise Suusaliidu ( FIS ) meditsiinikomisjoni soomlasest liige Tapio Videman , kelle avalik kiri “ austatud Timo Seppäläle ja teistele ” avaldati nädalavahetusel siinses pressis ."
soomlane,604,4176.886,soomlasest liige,"Kaitsekõne turmtule vastu ja veredopingukontrolli poolt pidas läinud nädalavahetusel kõigi Soome tähtsaimate lehtede veergudel veretestide “ ristiisa ” , praegu Edmontonis olev FISi meditsiinikomisjoni soomlasest liige Tapio Videman ."
soomlane,604,4176.886,soomlasest liige,"ROKi soomlasest liige Peter Tallberg sõnas pärast Norras peetud läbirääkimisi , et pole olemas ühtegi probleemi , milles Helsingi ja Lillehammer oleksid eriarvamusel ."
soomlane,604,4176.886,soomlasest maailmameister,"Zidane'ile ja Gebrselassiele järgnesid väljapaistvaim korvpallur , Chicago Bullsi viiendat korda NBA tiitlini tüürinud Michael Jordan USAst ( 84 ) , soomlasest vormel-1 maailmameister Mika Häkkinen ( 67 ) ja Tour de France'i võitnud Itaalia jalgrattur Marco Pantani ( 60 ) ."
soomlane,604,4176.886,soomlasest maailmameister,Teise kohaga pidi leppima soomlasest maailmameister Aki Parviainen ( 87.59 ) .
soomlane,604,4176.886,soomlasest maailmameister,"Kui Grönholmi saadab edu , tuleb temast Ari Vataneni , Hannu Mikkola , Timo Saloneni , Kankkuneni ja Tommi Mäkineni järel kuues soomlasest maailmameister ."
soomlane,604,4176.886,soomlasest treener,Neli päeva hiljem on avavoorus vastamisi FC Flora ja Tallinna Levadia ehk soomlasest treeneri Pasi Rautiaineni praegune ja varasem meeskond .
soomlane,604,4176.886,soomlasest treener,Levadia soomlasest treeneri sõnul olnuks TVMK ka võrdsete koosseisudega mängides soosik .
soomlane,604,4176.886,soomlasest treener,""" Meil on olemas korralik sportlane , kellel on väga hea soomlasest treener Toivo Kihlanki ."
venelane,484,3434.328,venelasest keskmängija,"Liiga parim korvikütt oli seega ainus , kelle nimi sisaldus kõikidel ankeetidel - BC Hotronicu venelasest keskmängijat Igor Kurašovi mainiti kuue , kaugemale jäänud Kalevi tagameest Valmo Kriisat kolme , Rocki kaitsepaari Tanel Teini ja Toomas Liivakut kahe , Kalevi mängujuhti Rauno Pehkat ühe treeneri poolt ."
venelane,484,3434.328,venelasest keskmängija,"BC Hotronicu korvpallimeeskonna venelasest keskmängija Igor Kurašov jätkas Eesti meeste korvpalliliiga väljakutel võimutsemist , seekord langes tema ohvriks A.Le Coqi lühem ja noorem eesliin ."
venelane,484,3434.328,venelasest keskmängija,"Eile Eestisse jõudnud venelasest keskmängija Pavel Tolotškov ( 22aastane , 207 cm ) , keda Rakvere testida kavatseb , meeskonnaga liituda veel ei jõudnud ."
venelane,484,3434.328,venelasest tsenter,Eesti meeste korvpalliliiga detsembrikuu parimaks mängijaks valiti BC Hotronicu venelasest tsenter Igor Kurašov .
venelane,484,3434.328,venelasest tsenter,"Tallinnas tabas venelasest tsenter Igor Kurašov seitse sekundit enne lõppu otsustava kolmese , kindlustades Hotronicule 88 : 87 võidu Nybiti üle ja lõpetades viimase kaheksamängulise kaotuseta seeria ."
venelane,484,3434.328,venelasest tsenter,"« Teadsin , et Permis on raske mängida , aga poleks arvanud , et nii keeruline , » tõdes vastaste ridades kaasa teinud venelasest tsenter Mihhail Mihhailov pressikonverentsil ."
venelane,484,3434.328,venelasest omanik,"Tai vanglas kannab eluaegset karistust ka eestlasest palgamõrvar Hardo Kers , kes tappis eelmise aasta 31. märtsil Tai kuurortlinnas Pattayas ühe restoraniketi venelasest omaniku ."
venelane,484,3434.328,venelasest omanik,""" Kõik mured on põhjustanud laeva venelasest omanik , "" lausus Trofimov ."
venelane,484,3434.328,venelasest omanik,"Hardo Kers on tunnistanud , et tappis 31. märtsil Tai kuurortlinnas Pattayas ühe restoranideketi venelasest omaniku Konstantin Polotskovi ."
venelane,484,3434.328,venelasest äär,"Arise ameeriklasest tagamängija Gary Grant sai hiljuti raskelt vigastada ja kreeklased pidid temast loobuma , seljavigastuse käes vaevleva venelasest ääre Mihhail Mihhailovi kõrvale soovis aga iisraellasest peatreener Zvi Sherf leida tugevdust ."
venelane,484,3434.328,venelasest äär,"Kalev suutis initsiatiivi hoida vaid esimesed neli minutit , kui juhiti 12 : 8 , kusjuures tosinast punktist olid seitse venelasest ääre Andrei Laletini arvel ."
venelane,484,3434.328,venelasest äär,Eile Tallinna jõudnud ameeriklasest tsenter Seth Sundberg on ühe Kalevi korvpalluriga juba varem koos mänginud - eelmise hooaja esimese poole veetis ta Vene klubis Permi Ural Great koos venelasest ääre Andrei Laletiniga .
venelane,484,3434.328,venelasest ärimees,Mul on tuttav venelasest ärimees .
venelane,484,3434.328,venelasest ärimees,"Ajaleht tsiteerib pikalt Kopli sadama laadimisfirma pärast Tallinna Sadama juhtidega vägikaigast vedavat venelasest ärimeest Sergei Hadzit , keda Eesti ajakirjandus on seostanud Sarapi tapmise ähvardustega ."
venelane,484,3434.328,venelasest ärimees,"Uudisteagentuuride väitel kohtus peaminister Mart Laar üleeile mõjuka venelasest ärimehe , viinatootja Onistar omaniku ja Paldiskis mõjuvõimu omava Igor Savenkoviga ."
sakslane,473,3353.805,sakslasest treener,"Võit oli ilmselt päästev ka sakslasest treenerile Jupp Heynckesile , keda sel hooajal on kõvasti maha tehtud ning kelle šansse Realis jätkata vahepeal juba olematuteks peeti ."
sakslane,473,3353.805,sakslasest treener,"Iga mees andis endast platsil kõik ja just mängu peaksime kogu aeg mängima , ” arvas Reali sakslasest treener Jupp Heynckes ."
sakslane,473,3353.805,sakslasest treener,"Dortmund domineeris , kuid meil olid paremad võimalused , "" rõõmustas Reali sakslasest treener Jupp Heynckes , kellel Meistrite Liigat võites oleks võimalik end rehabiliteerida pärast ebaõnnestunud esinemist Hispaania meistrivõistlustel ."
sakslane,473,3353.805,sakslasest peatreener,"Kreeka sakslasest peatreener Otto Rehhagel , kelle hoolealused olid päästmas tema kaasmaalasi , valas viha hollandlasest kohtunikule Dick Jolile ."
sakslane,473,3353.805,sakslasest peatreener,"Kuigi Kreekal läheb EM-finaalturniiril hästi , leidis sakslasest peatreener Otto Rehhagel ometi ühe põhjuse pahandamiseks ."
sakslane,473,3353.805,sakslasest peatreener,"Reali sakslasest peatreeneri Jupp Heynckesi üks endisi tööposte oli Müncheni Bayernis , klubis , mille Borussia veerandfinaalis alistas ."
sakslane,473,3353.805,sakslasest väravavaht,Washingtoni Capitalsi sakslasest väravavaht Olaf Kolzig on tänavustes NHLi playoffides teeninud kiidusõnu ja hüüdnimesid .
sakslane,473,3353.805,sakslasest väravavaht,"Manchester City jalgpalliklubi omaaegne sakslasest väravavaht Bert Trautmann , kes 1956. aastal mängis Inglise karikafinaalis veerand tundi murtud kaelaga , saab kuninganna Elizabethilt Briti Impeeriumi Ordeni Saksamaa ja Inglismaa suhete edendamise eest ."
sakslane,473,3353.805,sakslasest väravavaht,Heracleses saab Klavanist kolmas välismaalane sakslasest väravavahi Martin Pieckenhageni ha gaanalasest ründaja Kwame Quansehi kõrval .
sakslane,473,3353.805,sakslasest piloot,"Reisilennuki MD-87 pardal oli 104 reisijat ja kuus meeskonnaliiget , Saksa eralennuki Cessna pardal neli inimest - kaks sakslasest pilooti ja kaks itaallasest reisijat ."
sakslane,473,3353.805,sakslasest piloot,"Williams-BMW vormelitiimi sakslasest piloot Ralf Schumacher sattus haiglasse , kui oli Monza ringrajal toimunud testisõidul tõsise avarii teinud ."
sakslane,473,3353.805,sakslasest piloot,"Vormel-1 sarja Jordani meeskond teatas eile , et tiimi sakslasest piloodi Ralf Schumacheri leping katkestatakse selle hooaja järel ."
sakslane,473,3353.805,sakslasest sõber,Anul on sakslasest sõber Norbert .
sakslane,473,3353.805,sakslasest sõber,"Juba möödunud kuul andis tema mainele hävitava löögi väide , et Mitterrand oli käskinud selsamal Elfil kanda kümneid miljoneid kroone oma sakslasest sõbra Helmut Kohli partei salaarvetele , mille eest too väidetavalt kindlustas ühe Ida-Saksa naftatehase erastamise Elfile ."
sakslane,473,3353.805,sakslasest sõber,"Eile hilisõhtul jõudis toogi salvestus , mille tegi ühe eestlanna sakslasest sõber mängu ajal tribüünilt , lõpuks pärale ."
vabariiklane,414,3070.759,vabariiklasest senaator,"Enne kella kukkumist olid 55 vabariiklasest senaatorist viis teatanud , et nad ei kavatse hääletada presidendi ametist tagandamise poolt ."
vabariiklane,414,3070.759,vabariiklasest senaator,"Kaks USA kongresmeni - vabariiklasest senaator William Roth ja demokraadist Esindajatekoja liige Jerry Kleczka - esitasid Kongressile seaduseelnõu , mis keelustaks USAs lemmikloomanahkade ja neist valmistatud toodete müügi ."
vabariiklane,414,3070.759,vabariiklasest senaator,"Üks vabariiklasest senaator tegi ettepaneku , et Clinton maksaks kaks miljonit dollarit trahvi ning aktsepteeriks tsensuuriresolutsiooni ."
vabariiklane,414,3070.759,vabariiklasest president,"Maailmapanga operatsioonid muutuvad järgmise nelja aasta jooksul , mil võimul on vabariiklasest president George W. Bush , kindlasti konservatiivsemaks , ütles ta ."
vabariiklane,414,3070.759,vabariiklasest president,Tänukõnes andis Moore kõvasti pihta USA vabariiklasest presidendile George W. Bushile .
vabariiklane,414,3070.759,vabariiklasest president,Vastasparteiga on pidanud võimu poolitama näiteks nii vabariiklasest president Ronald Reagan kui ka demokraat Bill Clinton .
vabariiklane,414,3070.759,vabariiklasest kuberner,"Ööl vastu kolmapäeva peeti Bostonis esimene teledebatt USA presidendivalimiste kahe põhikandidaadi , demokraadist asepresidendi Al Gore'i ja vabariiklasest Texase kuberneri George W. Bushi vahel ."
vabariiklane,414,3070.759,vabariiklasest kuberner,"Demokraatist asepresident Al Gore ja vabariiklasest Texase kuberner George W. Bush kindlustasid teisipäevastel eelvalimistel vajaliku hulga delegaatide toetuse , mis tagab neile ametlikuks kandidaadiks valimise suvistel parteikonventidel ."
