member_1,member_2,phrase_case,frequency
ajalehepoisist,miljonär,tr,27
riigist,lahkumine,ad,27
ameeriklasest,äär,n,27
menetlusest,väljaarvamine,p,27
edust,tiivustatu,es,26
isikust,ettevõtja,el,26
kaanest,kaas,ter,26
eestlannast,abikaasa,n,26
õhtust,õhtu,ill,26
põlvest,põli,adt,26
luust,inimene,n,26
maist,august,ter,25
seminarist,osavõtja,n,25
suitsetamisest,loobumine,tr,25
üksikisikust,ettevõtja,n,25
soost,mees,n,25
puust,linn,n,25
islandlasest,treener,n,25
serblasest,peatreener,n,25
rootslasest,treener,n,25
õhtust,hommik,ter,25
tallinnast,privage,g,25
isamaaliitlasest,abilinnapea,n,24
teisipäevast,pühapäev,ter,24
hällist,haud,ter,24
juunist,september,ter,24
põlevkivist,õli,p,24
kolmapäevast,laupäev,ter,24
jaanuarist,märts,ter,24
kuriteost,mitteteatamine,in,24
juunist,august,ter,24
eestlasest,ääremängija,n,24
kommunistist,spiiker,n,24
demokraadist,kuberner,n,24
valitsusest,lahkumine,p,23
aastast,esimees,n,23
eraisikust,aktsionär,n,23
vabariiklasest,kongresmen,n,23
tööst,aeg,ad,23
varahommikust,hilisõhtu,ter,23
eraldistardist,sõit,n,23
venelasest,keskmängija,n,23
ametist,vabastamine,el,23
kodakondsusest,loobumine,g,23
kuuepäevast,sõda,p,23
rahvusest,inimene,g,23
registreerimisest,keeldumine,g,23
tagasimaksmisest,loobumine,n,23
tööjõust,vanus,in,23
keskerakondlasest,liige,g,22
eelmüügist,kroon,p,22
vanglast,vabastamine,g,22
islandlasest,peatreener,n,22
aastast,direktor,n,22
ehast,koit,ter,22
sadamast,lahkumine,p,22
kodust,lahkumine,n,22
kuriteost,mitteteatamine,g,22
brasiillasest,ründaja,n,22
ameeriklasest,ääremängija,n,22
vabariiklasest,president,n,22
isamaaliitlasest,linnapea,g,22
eebenipuust,torn,n,22
materjalist,sisetald,n,22
karistusest,vabastamine,n,22
teisipäevast,istung,p,22
õhtust,rahvas,n,22
üksikisikust,ettevõtja,g,21
naissoost,isik,p,21
riigist,väljasaatmine,n,21
riigist,väljasaatmine,g,21
aprillist,juuni,ter,21
soojast,vesi,el,21
soost,inimene,n,21
valitsusest,lahkumine,g,21
viisast,keeldumine,g,21
nafta-toidu-eest,programm,g,21
tasumisest,vabastamine,p,21
riigist,riik,p,21
ametist,tagandamine,tr,21
liidust,väljajäämine,n,21
soost,isik,g,21
ameeriklasest,tagamängija,g,20
kodakondsusest,vabastamine,tr,20
kriisist,väljatoomine,tr,20
teenistusest,vabastamine,ad,20
soost,inimene,p,20
ühisstardist,sõit,g,20
esmaspäevast,pühapäev,ter,20
tippspordist,loobumine,el,20
eestlasest,väravavaht,n,20
koalitsioonist,lahkumine,g,20
haiglast,lahkumine,p,20
registrist,kustutamine,tr,20
reformierakondlasest,linnapea,g,20
naissoost,isik,kom,20
reformierakondlasest,peaminister,n,20
keskerakondlasest,siseminister,n,20
erakonnast,lahkumine,g,20
esitamisest,vabastamine,n,20
vastuvõtmisest,keeldumine,g,20
karistusest,vabastamine,g,20
uksest,sissemurdmine,n,20
toidust,keeldumine,g,20
esmaspäevast,laupäev,ter,19
rahvusest,kodanik,p,19
demokraadist,liige,n,19
olukorrast,väljatulemine,tr,19
märtsist,maa,ter,19
aprillist,maa,ter,19
meessoost,isik,p,19
elust,lahkumine,g,19
septembrist,detsember,ter,19
polkast,rokk,ter,19
reedest,kohtumine,p,19
suitsetamisest,loobumine,p,19
riigist,väljasaatmine,p,19
leedulasest,tagamees,n,19
ameeriklasest,tsenter,n,19
vanglast,põgenemine,g,19
registrist,kustutamine,p,19
norralasest,olümpiavõitja,n,18
korterist,väljatõstmine,n,18
spordist,loobumine,p,18
hollandlasest,juhendaja,n,18
ametist,kõrvaldamine,p,18
sadamast,väljumine,p,18
rahvusest,mees,g,18
asjast,huvitatu,n,18
paekivist,hoone,n,18
aastast,juhataja,n,18
troonist,loobumine,g,18
majast,lahkumine,p,18
väljaandmisest,keeldumine,g,18
puidust,elumaja,n,18
äärest,äär,ter,18
leedulasest,tsenter,n,18
kuust,kuu,ill,18
reformierakondlasest,esimees,g,18
lepingust,taganemine,g,18
servast,serv,adt,18
isikust,esindaja,g,18
rahvusest,inimene,kom,17
esimehest,peaminister,n,17
vangist,vabanemine,p,17
reformierakondlasest,linnavolikogu,g,17
soojast,vastuvõtt,el,17
prantslasest,treener,n,17
asjast,huvitatu,ad,17
stressist,vabanemine,tr,17
äärmusest,äärmus,ill,17
maamaksust,vabastamine,g,17
näitlejast,abikaasa,n,17
silmast,silm,adt,17
rahvusest,isik,p,17
elust,lahkumine,p,17
treenerist,abikaasa,n,17
detsembrist,jaanuar,ter,17
vanglast,vabanenu,g,17
punktist,punkt,g,17
rahvusest,laps,p,17
rahvusest,isik,g,17
teenistusest,lahkumine,g,17
soost,isik,p,17
rahvusest,noor,g,17
plika_tartust,kle,n,17
tulust,mahaarvamine,g,16
asukohast,teadja,ad,16
seksist,rääkimine,n,16
haiglast,väljakirjutamine,p,16
suveajast,loobumine,g,16
koolist,puudumine,g,16
elevandiluust,torn,in,16
olukorrast,väljumine,tr,16
vanglast,vabanenu,n,16
vanglast,vabanenu,all,16
norralasest,treener,n,16
detsembrist,märts,ter,16
konkursist,osavõtja,n,16
riigieelarvest,raha,g,16
vigastusest,paranemine,p,16
soomlasest,maailmameister,n,16
hollandlasest,treener,g,16
puust,rist,n,16
suvest,suvi,ter,16
menetlusest,väljaarvamine,n,16
reedest,esmaspäev,ter,16
isamaaliitlasest,rahanduskomisjon,g,16
nädalast,nädal,ill,16
rahvusest,isik,all,16
vabariiklasest,senaator,g,16
menetlusest,väljaarvamine,tr,16
prantslasest,peatreener,n,16
ameeriklasest,tagamees,g,16
jaanuarist,september,ter,16
politseist,lahkumine,p,16
aprillist,oktoober,ter,16
nullist,alustamine,n,16
novembrist,veebruar,ter,16
põlvest,põlv,g,16
wahest,pede,n,16
eestlasest,ründaja,n,15
silmast,silm,g,15
seinast,sein,ter,15
põhjast,lõuna,ill,15
pensionärist,ema,n,15
karistusest,pääsemine,tr,15
sotsialistist,peaminister,g,15
pangast,lahkumine,p,15
hollandlasest,peatreener,g,15
oktoobrist,detsember,ter,15
asjast,huvitatu,all,15
reklaamist,loobumine,n,15
jaanuarist,juuni,ter,15
ideest,teostus,ter,15
kodust,lahkumine,g,15
koolist,väljalangemine,g,15
rahvusest,laps,n,15
oktoobrist,märts,ter,15
palestiinlasest,suitsiiditerrorist,n,15
soost,isik,n,15
hagist,loobumine,g,15
massist,sahharoos,g,15
laost,väljaviimine,n,15
plika_tartust,tere,n,15
islandlasest,treener,g,14
aastast,näitleja,n,14
klaasist,sein,n,14
servast,serv,g,14
teenistusest,vabastamine,el,14
koonderakondlasest,linnapea,n,14
kodakondsusest,vabastamine,g,14
inglasest,treener,n,14
sajandist,sajand,ill,14
õhupüssist,laskmine,in,14
koolist,väljalangemine,n,14
brasiillasest,treener,n,14
eraisikust,aktsionär,p,14
alagrupist,edasipääs,n,14
itaallasest,treener,n,14
autost,väljumine,p,14
konservatiivist,peaminister,n,14
sakslasest,treener,n,14
koosolekust,osavõtja,n,14
vastuvõtmisest,keeldumine,n,14
alagrupist,edasipääs,g,14
mängust,võit,p,14
kivist,külaline,n,14
keskerakondlasest,riigikogulane,n,14
pronksist,kuju,n,14
rahvaliitlasest,põllumajandusminister,n,14
poolakast,paavst,n,14
kriminaalasjast,keeldumine,g,14
soojast,ilm,el,14
karvast,käsi,p,14
lätlasest,leegionär,n,14
presidendiametist,lahkumine,p,14
ametist,kõrvaldamine,n,14
elevandiluust,torn,p,14
demokraadist,senaator,g,14
soomlasest,omanik,n,14
keskerakondlasest,linnapea,g,14
esitamisest,vabastamine,g,14
tähtajast,kinnipidamine,n,14
maksust,vabastamine,g,14
riigilõivust,vabastamine,g,14
residendist,isik,ad,14
tagasimaksmisest,loobumine,g,14
jaanuarist,kroon,p,14
kolmapäevast,päevakord,adt,14
palestiinlasest,enesetaputerrorist,n,14
hasartmängumaksust,toetus,g,14
rahvusest,elanik,p,13
külast,küla,adt,13
ametist,tagandamine,kom,13
soost,ärimees,n,13
nõupidamisest,osavõtja,n,13
eestlasest,ärimees,n,13
tulumaksust,vabastamine,kom,13
päikesetõusust,loojang,ter,13
koolist,puudumine,n,13
soomlasest,liige,n,13
rahvusest,noormees,n,13
ametist,vabastamine,ter,13
eraisikust,klient,p,13
augustist,oktoober,ter,13
sakslasest,peatreener,n,13
tormist,meri,p,13
puust,maja,n,13
ameeriklasest,olümpiavõitja,n,13
südamest,kahju,n,13
tööelust,väljatõrjumine,g,13
maksust,vabastamine,n,13
koolist,lahkumine,p,13
eestlasest,linnapea,n,13
villast,lõng,p,13
meessoost,isik,g,13
leedulasest,tagamängija,g,13
riigikogust,lahkumine,g,13
soomlasest,treener,n,13
ametist,kõrvaldamine,ad,13
poliitikast,lahkumine,p,13
vanglast,põgenemine,n,13
vabariiklasest,esindajatekoda,g,13
rahvaliitlasest,esimees,n,13
tootmisest,kõrvaldamine,n,13
allakirjutamisest,keeldumine,g,13
reformierakondlasest,keskkonnaminister,n,13
pedest,vitt,el,13
sotsialistist,president,g,12
isamaaliitlasest,tee,g,12
invaliidist,ema,n,12
korterist,väljatõstmine,g,12
reklaamimüügist,loobumine,g,12
rivist,langemine,n,12
ametist,lahkumine,all,12
keelest,keel,adt,12
eebenipuust,torn,p,12
suveajast,loobumine,n,12
reformierakondlasest,liige,g,12
islandlasest,juhendaja,n,12
maist,november,ter,12
rahvusest,ärimees,n,12
vrakist,pind,all,12
keskerakondlasest,esimees,g,12
lumest,puhastamine,n,12
konkursist,osavõtt,tr,12
metallist,ese,p,12
kriisist,väljumine,g,12
märtsist,juuni,ter,12
täispuidust,mööbel,n,12
ühisstardist,sõit,n,12
ärimehest,isa,n,12
maist,oktoober,ter,12
soost,töötaja,g,12
eraisikust,ettevõtja,n,12
tegevteenistusest,vabastamine,g,12
aprillist,september,ter,12
soost,isik,all,12
ametist,loobumine,g,12
reservfondist,raha,g,12
reedest,kaotus,p,12
jaanuarist,maa,ter,12
politseiteenistusest,vabastamine,p,12
reformierakondlasest,välisminister,n,12
leedulasest,mängujuht,n,12
soost,laps,n,12
ruumist,lahkumine,p,12
tööst,vabastamine,g,12
augustist,september,ter,12
magnituudist,maavärin,p,12
lennureisist,mahajätmine,g,12
linnast,lahkumine,tr,12
riigist,ühendus,adt,12
lepingust,taganemine,n,12
vabariiklasest,president,g,12
isikust,võlgnik,g,12
kemikaalist,teavitamine,g,12
tegemisest,keeldumine,n,12
väljaandmisest,keeldumine,n,12
mäest,laskumine,ad,12
isikust,aktsionär,n,12
rasedusest,hoidumine,tr,12
east,side,n,12
päikeseloojangust,päikesetõus,ter,12
august,sõna,ad,12
jordaanlasest,terror,el,12
kvaliteedist,keelejuht,n,12
õhtust,raffa,in,12
neegrist,juut,n,12
asjast,arusaamine,tr,11
ilmast,lahkumine,p,11
tippspordist,loobumine,g,11
norralasest,ründaja,n,11
riigist,lahkumine,n,11
pealinnast,põhi,in,11
leiboristist,peaminister,n,11
klassist,klass,g,11
esiuksest,sisenemine,g,11
koonderakondlasest,abilinnapea,n,11
puust,elumaja,n,11
olukorrast,väljatulek,tr,11
ortodontilist,ravi,p,11
ameeriklasest,miljonär,n,11
leedulasest,leegionär,n,11
eestlasest,palgamõrvar,n,11
riigist,väljasaatmine,kom,11
teenistusest,vabastamine,tr,11
joodikust,isa,n,11
leedulasest,äär,n,11
argentiinlasest,kaitsja,n,11
maksust,vabastamine,p,11
venelasest,leegionär,n,11
detsembrist,veebruar,ter,11
asjast,huvitatu,p,11
enamikust,konkurent,el,11
reformierakondlasest,justiitsminister,n,11
kodanikust,abikaasa,n,11
vanglast,vabanenu,es,11
soomlasest,piloot,n,11
koolist,lahkumine,g,11
vanglast,vabanemine,ad,11
üritusest,osavõtja,n,11
sõjaväest,pääsemine,tr,11
itaallasest,ründaja,n,11
kullast,süda,n,11
riigieelarvest,finantseerimine,g,11
itaallasest,peatreener,n,11
tuumaenergiast,loobumine,g,11
kommunistist,esimees,n,11
venelasest,tsenter,n,11
visioonist,lahendus,ter,11
sakslasest,piloot,n,11
kodust,lahkumine,ad,11
residendist,äriühing,n,11
parlamendist,lahkumine,p,11
iraaklasest,tõlk,n,11
kivist,hoone,n,11
teenistusest,vabastamine,p,11
klaasist,pudel,n,11
pühapäevast,neljapäev,ter,11
isikust,nimi,n,11
registreerimisest,keeldumine,n,11
väljastamisest,keeldumine,n,11
hooletusest,suitsetamine,ad,11
ühendusesisest,veis,g,11
lepingust,lahtiütlemine,in,11
isikust,omanik,g,11
terasest,lehtvaltstoode,n,11
vabariiklasest,spiiker,n,11
töökohast,lahkumine,g,11
satelliidialast,teave,p,11
paekivist,sein,n,10
erakonnast,väljaheitmine,n,10
teisipäevast,laupäev,ter,10
väeosast,lahkumine,g,10
menetlusest,väljahääletamine,p,10
spordist,loobumine,el,10
ajaloolasest,peaminister,n,10
soomlasest,mees,n,10
vabariiklasest,liige,n,10
isast,treener,n,10
ametist,loobumine,p,10
serblasest,peatreener,g,10
ärimehest,poeg,n,10
aastast,dotsent,n,10
kirjanikust,president,n,10
pankrotist,päästmine,tr,10
keskerakondlasest,linnaosa,g,10
keskerakondlasest,abilinnapea,g,10
enesetapjast,terrorist,g,10
ekskommunistist,peaminister,n,10
kolmapäevast,kohtumine,p,10
kodust,eemalolek,n,10
maist,juuli,ter,10
puust,mees,n,10
litsentsist,ilmajäämine,n,10
algatamisest,keeldumine,g,10
pühapäevast,teisipäev,ter,10
esmaspäevast,kohtumine,p,10
koalitsioonist,lahkumine,p,10
taanlasest,kohtunik,n,10
eraldistardist,sõit,p,10
ameeriklasest,mängujuht,g,10
elust,lahkumine,n,10
internetist,aadress,ad,10
poest,ostetu,n,10
konkursist,osavõtt,n,10
koolist,väljalangevus,n,10
riidest,kott,n,10
linnast,maa,all,10
venelasest,omanik,g,10
reformierakondlasest,rahandusminister,n,10
pühapäevast,kolmapäev,ter,10
eestlasest,sõber,n,10
tollimaksust,vabastamine,g,10
riigist,väljaviimine,g,10
haldjast,ristiema,n,10
rahast,ilmajäämine,n,10
vabadussõjast,osavõtnu,all,10
registrist,kustutamine,ad,10
troonist,loobumine,p,10
olukorrast,pääsemine,tr,10
aastast,kroon,p,10
karistusest,vabastamine,p,10
vanglast,vabanenu,p,10
koolist,väljaviskamine,n,10
soomlasest,peatreener,g,10
poolakast,väravavaht,n,10
rahast,rääkimine,n,10
demokraadist,esindajatekoda,g,10
reformierakondlasest,volikogu,g,10
horvaadist,peatreener,n,10
reformierakondlasest,kultuuriminister,n,10
reformierakondlasest,kaitseminister,n,10
eestlasest,narkokuller,p,10
sotsiaaldemokraadist,välisminister,n,10
rahvusest,elanik,n,10
sarnast,skeem,g,10
leedulasest,peatreener,n,10
tööst,osavõtt,n,10
itaallasest,juhendaja,n,10
mõrvast,mitteteatamine,in,10
elanikkonnast,töö,ab,10
linnavalitsusest,lahkumine,p,10
greatest,hits,n,10
eestlasest,olümpiavõitja,n,10
soost,töötaja,all,10
võtmisest,keeldumine,g,10
sakslasest,peatreener,g,10
ametist,kõrvaldamine,tr,10
kilest,aiakatt,in,10
mitteresidendist,veoettevõtja,n,10
koolist,väljaheitmine,g,10
isikust,liige,g,10
ekspertiisist,keeldumine,g,10
tasumisest,vabastamine,g,10
puidust,hoone,n,10
vanglast,vabastamine,n,10
aastast,uurimisperiood,ter,10
piimatootmisest,loobumine,g,10
klaasist,sein,kom,10
punktist,punkt,p,10
registrist,kustutamine,kom,10
enamikust,riik,el,10
august,kalmistu,n,10
isamaaliitlasest,esimees,n,10
plastist,laternaklaas,kom,10
rahvusest,kodanik,g,10
tulumaksust,vabastamine,el,10
erakonnast,lahkumine,tr,10
keskerakondlasest,põhiseaduskomisjon,g,10
käibemaksust,vabastamine,p,10
taimetargast,mees,n,10
nafta-toidu-eest,programm,n,10
ghost,ship,n,10
plika_tartust,suht,n,10
haisukotist,kretiin,el,10
mäest,lask,in,9
lapseeast,invaliid,g,9
lastekodust,lahkumine,p,9
kullast,kett,n,9
kriisist,väljatulemine,tr,9
kriisist,väljatulek,tr,9
rootslasest,juht,n,9
internetist,aadress,abl,9
kodakondsusest,vabastamine,p,9
serblasest,juhendaja,n,9
pensionärist,vanaema,n,9
vabariiklasest,kuberner,g,9
välismaalasest,pantvang,p,9
hommikust,hilisõhtu,ter,9
meessoost,sõber,n,9
olukorrast,väljapääsemine,tr,9
õpetajast,abikaasa,n,9
demokraadist,president,g,9
novembrist,märts,ter,9
märtsist,september,ter,9
lumest,puhastamine,tr,9
klaasist,uks,n,9
eestlasest,treener,n,9
rahvusest,naine,n,9
isikust,talupidaja,n,9
demokraadist,kuberner,g,9
elust,kirjutamine,g,9
spordist,loobumine,n,9
pronksist,kuju,p,9
sakslasest,väravavaht,n,9
politseist,lahkumine,g,9
ühiskonnast,isoleerimine,n,9
meessoost,nakatunu,kom,9
maist,vara,g,9
tehasest,väljamüük,g,9
kohast,loobumine,g,9
eestlasest,profirattur,n,9
puidust,osa,n,9
nimekirjast,kustutamine,g,9
meessoost,isik,all,9
aastast,juht,n,9
venelasest,olümpiavõitja,n,9
brasiillasest,poolkaitsja,g,9
hollandlasest,kaitsja,n,9
riigist,väljaviimine,n,9
olukorrast,ülevaade,g,9
valitsusest,lahkumine,kom,9
sõjaväelasest,isa,n,9
vanglast,põgenemine,p,9
klassist,meeskond,n,9
seemisnahast,lapp,n,9
kodust,tapetu,es,9
metallist,ese,n,9
vanglast,vabanenu,ad,9
soomlasest,tiitlikaitsja,n,9
miljardärist,ärimees,n,9
keskerakondlasest,aseesimees,n,9
sadamast,väljumine,g,9
kommunistist,president,n,9
valitsusest,lahkumine,n,9
keskerakondlasest,haridusminister,n,9
spordist,lahkumine,p,9
respublikaanist,linnapea,n,9
rahvaliitlasest,liige,n,9
rahast,kahju,n,9
vanglast,vabastamine,tr,9
rahvaliitlasest,minister,n,9
sotsiaaldemokraadist,kantsler,n,9
eraisikust,maksumaksja,n,9
isamaaliitlasest,aseesimees,g,9
siitilmast,lahkumine,p,9
sidemängijast,mänedžer,n,9
keskerakondlasest,rahandusminister,n,9
miljonärist,ärimees,n,9
norralasest,kohtunik,n,9
klaasist,skulptuur,n,9
soost,mees,g,9
tubakast,loobumine,n,9
soojast,suvi,el,9
sihtkohast,kinnipidamine,g,9
mäest,laskumine,g,9
kroonist,loobumine,g,9
oktoobrist,liikmesriik,n,9
tootmisest,kõrvalejätmine,g,9
isikust,võlgnik,n,9
eesõigusest,loobumine,tr,9
tööst,osa,n,9
promillist,joove,p,9
tehasest,hankimine,g,9
asjast,huvitatu,g,9
vabariiklasest,senaator,p,9
jumalast,jama,n,9
hagist,loobumine,n,9
isikust,aktsionär,g,9
keskerakondlasest,siseminister,g,9
minuarust,suht,n,9
pärandist,loobumine,g,9
keelest,tõlk,in,9
elevandiluust,torn,el,9
sotsiaalmaksust,vabastamine,g,9
vastutusest,vabastamine,n,9
meessoost,inimene,n,9
imikust,rauk,ter,9
kodakondsusest,vabastamine,all,9
iraaklasest,tsiviilisik,p,9
elukohast,lahkumine,tr,9
tammest,kaitserest,n,9
ameeriklasest,tsenter,g,8
lepingust,loobumine,n,8
uustulnukast,väravavaht,n,8
rootslasest,juhendaja,n,8
sakslasest,arst,n,8
korterist,väljatõstmine,p,8
parteist,lahkumine,g,8
internetist,arvuti,ill,8
keelust,üleastumine,g,8
isamaaliitlasest,haridusminister,n,8
tööst,ilmajäämine,n,8
soost,inimene,all,8
soost,kodanik,n,8
kodakondsusest,loobumine,p,8
stardist,finiš,ter,8
viisakohustusest,loobumine,g,8
tööst,loobumine,n,8
sakslasest,sõber,n,8
norralasest,treener,g,8
demokraadist,rivaal,p,8
kommunistist,duumaspiiker,n,8
tunnist,tund,p,8
puidust,elumaja,p,8
klaasist,vahesein,n,8
lapsest,loobumine,n,8
valitsusest,lahkumine,el,8
reedest,laupäev,ter,8
hollandlasest,ründaja,n,8
tööst,loobumine,g,8
kodust,ilmajäämine,n,8
kriisist,väljaviimine,tr,8
aastast,juhataja,es,8
majast,väljumine,p,8
rahvusest,õpilane,p,8
plastmassist,pea,kom,8
kuriteost,mitteteatamine,n,8
koolist,väljaheitmine,n,8
naissoost,isik,g,8
põlvkonnast,põlvkond,p,8
vangistusest,vabanemine,p,8
maist,päritolu,p,8
leedulasest,tagamees,g,8
võimust,võõrandumine,g,8
aastast,suursaadik,n,8
valitsusest,lahkumine,ter,8
elust,kirjutamine,n,8
norralasest,mänedžer,n,8
materjalist,püks,n,8
ühisstardist,klassikasõit,n,8
miljonärist,seikleja,n,8
vaatevinklist,nähtu,es,8
rahvusest,inimene,ad,8
arstist,isa,n,8
kaitseväest,lahkumine,p,8
mänedžerist,isa,n,8
rahvusest,naine,p,8
keelust,kinnipidamine,p,8
õhupüssist,laskmine,n,8
soojast,koht,el,8
sügavusest,vesi,el,8
töökohast,ilmajäämine,n,8
vabariiklasest,esimees,n,8
korrusest,korter,n,8
leedulasest,ründaja,n,8
vabadussõjast,osavõtnu,g,8
teatrist,lahkumine,p,8
sotsialistist,poliitik,n,8
reformierakondlasest,juht,n,8
reformierakondlasest,rahanduskomisjon,g,8
reformierakondlasest,linnapea,p,8
paraadist,osavõtja,n,8
eraisikust,klient,n,8
keskerakondlasest,linnapea,all,8
poolakast,tsenter,n,8
austraallasest,tsenter,n,8
ameeriklasest,leegionär,p,8
rootslasest,kohtunik,n,8
soomlasest,olümpiavõitja,n,8
sotsiaaldemokraadist,peaminister,g,8
kanadalasest,mängujuht,n,8
hispaanlasest,kohtunik,n,8
vereülekandest,keeldumine,g,8
toetusest,ilmajäämine,n,8
tammepuust,uks,n,8
fraktsioonist,lahkumine,g,8
puidust,maja,n,8
läänest,ida,adt,8
sakslasest,maailmameister,n,8
taagast,vabanemine,tr,8
demokraadist,asekuberner,n,8
finaalist,jäämine,n,8
serblasest,treener,n,8
keskerakondlasest,minister,n,8
reformierakondlasest,maavanem,n,8
reformierakondlasest,õiguskomisjon,g,8
demokraadist,kongresmen,n,8
ülikoolist,lahkumine,p,8
norralasest,määrdemeister,n,8
jaapanlasest,väravavaht,n,8
isamaaliitlasest,riigikogulane,n,8
advokaadist,justiitsminister,n,8
välismaalasest,keskmängija,n,8
diplomaadist,isa,n,8
kaitseliitlasest,abipolitseinik,p,8
argentiinlasest,peatreener,n,8
haiglast,lahkumine,g,8
reformierakondlasest,majandusminister,n,8
rootslannast,abikaasa,n,8
põhikoolist,väljalangevus,n,8
päikesetõusust,päikeseloojang,ter,8
riigieelarvest,omavalitsus,all,8
äriregistrist,kustutamine,n,8
äriregistrist,kustutamine,p,8
isast,põlvnemine,g,8
ametist,loobumine,el,8
keelust,üleastuja,n,8
ametist,tagandamine,ad,8
kogusest,artikkel,in,8
sotsiaaldemokraadist,linnapea,n,8
kindralist,president,n,8
jõupaberist,kott,n,8
laost,väljavõtmine,n,8
õigusalast,koostöö,p,8
edastamisest,keeldumine,n,8
plastist,mahtlastikonteiner,ill,8
käibemaksust,vabastamine,g,8
klaasist,osa,n,8
ärialast,reputatsioon,p,8
jaanuarist,protsent,p,8
klaasist,poiss,n,8
puust,laud,n,8
naissoost,inimene,n,8
vaimust,sündinu,g,8
päevast,liige,n,8
